Year,SeriesCode,Страна ,Type of renewable technology,Value
2004,EG_EGY_RNEW,Chile,HYDROPOWER,326.009
2004,EG_EGY_RNEW,Chile,WIND,0.125
2004,EG_EGY_RNEW,Chile,BIOENERGY,1.373
2005,EG_EGY_RNEW,Chile,WIND,0.124
2005,EG_EGY_RNEW,Chile,HYDROPOWER,322.961
2005,EG_EGY_RNEW,Chile,ALL,325.311
2005,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2005,EG_EGY_RNEW,Chile,SOLAR,0.0
2005,EG_EGY_RNEW,Chile,BIOENERGY,2.226
2006,EG_EGY_RNEW,Chile,SOLAR,0.0
2006,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2006,EG_EGY_RNEW,Chile,ALL,322.506
2006,EG_EGY_RNEW,Chile,HYDROPOWER,320.18
2006,EG_EGY_RNEW,Chile,WIND,0.122
2006,EG_EGY_RNEW,Chile,BIOENERGY,2.204
2007,EG_EGY_RNEW,Chile,WIND,1.212
2007,EG_EGY_RNEW,Chile,HYDROPOWER,324.694
2007,EG_EGY_RNEW,Chile,ALL,328.574
2007,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2007,EG_EGY_RNEW,Chile,SOLAR,0.0
2007,EG_EGY_RNEW,Chile,BIOENERGY,2.667
2008,EG_EGY_RNEW,Chile,SOLAR,0.0
2008,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2008,EG_EGY_RNEW,Chile,ALL,332.19
2008,EG_EGY_RNEW,Chile,HYDROPOWER,326.128
2008,EG_EGY_RNEW,Chile,WIND,1.2
2008,EG_EGY_RNEW,Chile,BIOENERGY,4.862
2009,EG_EGY_RNEW,Chile,WIND,9.683
2009,EG_EGY_RNEW,Chile,HYDROPOWER,323.924
2009,EG_EGY_RNEW,Chile,ALL,362.716
2009,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2009,EG_EGY_RNEW,Chile,SOLAR,0.0
2009,EG_EGY_RNEW,Chile,BIOENERGY,29.109
2010,EG_EGY_RNEW,Chile,SOLAR,0.0
2010,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2010,EG_EGY_RNEW,Chile,ALL,362.192
2010,EG_EGY_RNEW,Chile,HYDROPOWER,321.555
2010,EG_EGY_RNEW,Chile,WIND,9.586
2010,EG_EGY_RNEW,Chile,BIOENERGY,31.051
2011,EG_EGY_RNEW,Chile,WIND,10.714
2011,EG_EGY_RNEW,Chile,HYDROPOWER,346.274
2011,EG_EGY_RNEW,Chile,ALL,390.004
2011,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2011,EG_EGY_RNEW,Chile,SOLAR,0.0
2011,EG_EGY_RNEW,Chile,BIOENERGY,33.016
2012,EG_EGY_RNEW,Chile,SOLAR,0.115
2012,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2012,EG_EGY_RNEW,Chile,ALL,406.865
2012,EG_EGY_RNEW,Chile,HYDROPOWER,345.568
2012,EG_EGY_RNEW,Chile,WIND,11.648
2012,EG_EGY_RNEW,Chile,BIOENERGY,49.534
2013,EG_EGY_RNEW,Chile,WIND,17.19
2013,EG_EGY_RNEW,Chile,HYDROPOWER,348.075
2013,EG_EGY_RNEW,Chile,ALL,438.481
2013,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2013,EG_EGY_RNEW,Chile,SOLAR,0.857
2013,EG_EGY_RNEW,Chile,BIOENERGY,72.359
2014,EG_EGY_RNEW,Chile,SOLAR,12.495
