Year,SeriesCode,GeoAreaName,Age,Sex,Value
2012,SE_ADT_EDUCTRN,Albania,25-54,FEMALE,0.9
2012,SE_ADT_EDUCTRN,Albania,15-24,MALE,50.9
2012,SE_ADT_EDUCTRN,Albania,15-64,FEMALE,13.0
2012,SE_ADT_EDUCTRN,Albania,15-64,MALE,14.8
2012,SE_ADT_EDUCTRN,Albania,15-64,BOTHSEX,13.9
2013,SE_ADT_EDUCTRN,Albania,15-24,BOTHSEX,53.1
2013,SE_ADT_EDUCTRN,Albania,15-24,MALE,49.3
2013,SE_ADT_EDUCTRN,Albania,25-54,FEMALE,1.6
2013,SE_ADT_EDUCTRN,Albania,25-54,BOTHSEX,1.8
2013,SE_ADT_EDUCTRN,Albania,25-54,MALE,2.1
2013,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,56.6
2013,SE_ADT_EDUCTRN,Albania,15-64,BOTHSEX,15.0
2013,SE_ADT_EDUCTRN,Albania,15-64,MALE,14.2
2013,SE_ADT_EDUCTRN,Austria,15-24,MALE,64.3
2013,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,17.5
2013,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,16.2
2013,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,66.3
2013,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,24.6
2013,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,23.2
2013,SE_ADT_EDUCTRN,Austria,15-64,MALE,21.8
2019,SE_ADT_EDUCTRN,Croatia,55-64,MALE,0.5
2019,SE_ADT_EDUCTRN,Croatia,25-54,MALE,4.2
2019,SE_ADT_EDUCTRN,Croatia,15-24,FEMALE,69.3
2019,SE_ADT_EDUCTRN,Croatia,55-64,BOTHSEX,0.5
2019,SE_ADT_EDUCTRN,Croatia,25-54,BOTHSEX,4.6
2019,SE_ADT_EDUCTRN,Croatia,15-24,MALE,57.9
2019,SE_ADT_EDUCTRN,Croatia,15-64,BOTHSEX,13.6
2013,SE_ADT_EDUCTRN,Albania,15-64,FEMALE,15.7
2014,SE_ADT_EDUCTRN,Albania,25-54,BOTHSEX,1.5
2014,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,55.3
2014,SE_ADT_EDUCTRN,Albania,25-54,MALE,1.5
2014,SE_ADT_EDUCTRN,Albania,15-24,BOTHSEX,53.0
2014,SE_ADT_EDUCTRN,Albania,25-54,FEMALE,1.5
2014,SE_ADT_EDUCTRN,Albania,15-24,MALE,50.9
