Year,SeriesCode,Страна ,Activity,Sex,Value
2021,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,61.21
2021,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,58.55
2021,SL_ISV_IFEM,Colombia,TOTAL,MALE,64.57
2021,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,59.36
2021,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,63.24
2011,SL_ISV_IFEM,Costa Rica,TOTAL,BOTHSEX,37.07
2011,SL_ISV_IFEM,Costa Rica,NONAGR,FEMALE,37.23
2010,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,8.62
2010,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,47.22
2010,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,27.01
2010,SL_ISV_IFEM,Greece,TOTAL,FEMALE,12.76
2010,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,6.29
2010,SL_ISV_IFEM,Greece,ISIC4_A,MALE,12.13
2010,SL_ISV_IFEM,Greece,NONAGR,MALE,4.69
2010,SL_ISV_IFEM,Greece,TOTAL,MALE,5.53
2010,SL_ISV_IFEM,Greece,NONAGR,FEMALE,8.42
2017,SL_ISV_IFEM,Albania,NONAGR,FEMALE,23.28
2017,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,99.5
2017,SL_ISV_IFEM,Albania,TOTAL,MALE,61.08
2017,SL_ISV_IFEM,Albania,ISIC4_A,MALE,99.16
2018,SL_ISV_IFEM,Albania,TOTAL,FEMALE,54.87
2018,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,99.35
2018,SL_ISV_IFEM,Albania,NONAGR,FEMALE,22.33
2018,SL_ISV_IFEM,Albania,ISIC4_A,MALE,98.38
2018,SL_ISV_IFEM,Albania,NONAGR,MALE,41.06
2018,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,33.49
2011,SL_ISV_IFEM,Costa Rica,ISIC4_A,FEMALE,81.57
2011,SL_ISV_IFEM,Costa Rica,TOTAL,FEMALE,41.03
2011,SL_ISV_IFEM,Costa Rica,NONAGR,MALE,30.13
2011,SL_ISV_IFEM,Costa Rica,ISIC4_A,MALE,57.15
