Year,SeriesCode,GeoAreaName,Activity,Value
2004,EN_ATM_CO2,Slovenia,TOTAL,15.23
2004,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,2.07
2005,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,2.16
2005,EN_ATM_CO2,Slovenia,TOTAL,15.43
2006,EN_ATM_CO2,Slovenia,TOTAL,15.78
2006,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,2.29
2007,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,2.11
2007,EN_ATM_CO2,Slovenia,TOTAL,15.74
2008,EN_ATM_CO2,Slovenia,TOTAL,16.77
2000,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,2.89
2001,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,2.99
2001,EN_ATM_CO2,Belarus,TOTAL,50.9
2002,EN_ATM_CO2,Belarus,TOTAL,50.77
2002,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,2.92
2003,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,3.28
2003,EN_ATM_CO2,Belarus,TOTAL,51.36
2004,EN_ATM_CO2,Belarus,TOTAL,54.45
2004,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,3.56
2005,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,3.66
2005,EN_ATM_CO2,Belarus,TOTAL,55.0
2008,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,2.01
2009,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,1.72
2009,EN_ATM_CO2,Slovenia,TOTAL,15.09
2010,EN_ATM_CO2,Slovenia,TOTAL,15.42
2010,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,1.74
2011,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,1.6
2011,EN_ATM_CO2,Slovenia,TOTAL,15.4
2012,EN_ATM_CO2,Slovenia,TOTAL,14.81
2012,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,1.53
2013,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,1.54
2013,EN_ATM_CO2,Slovenia,TOTAL,14.16
2006,EN_ATM_CO2,Belarus,TOTAL,57.22
2006,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,3.64
2007,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,3.9
2007,EN_ATM_CO2,Belarus,TOTAL,55.71
2008,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.12
2008,EN_ATM_CO2,Belarus,TOTAL,58.42
2009,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,3.74
2009,EN_ATM_CO2,Belarus,TOTAL,55.3
2010,EN_ATM_CO2,Belarus,TOTAL,59.47
2010,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.02
2011,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.21
2011,EN_ATM_CO2,Belarus,TOTAL,56.36
2012,EN_ATM_CO2,Belarus,TOTAL,57.55
2012,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.63
2013,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.73
2013,EN_ATM_CO2,Belarus,TOTAL,57.52
2014,EN_ATM_CO2,Belarus,TOTAL,56.78
2014,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.87
2015,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.06
2015,EN_ATM_CO2,Belarus,TOTAL,52.6
2016,EN_ATM_CO2,Belarus,TOTAL,53.0
2016,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.15
2010,EN_ATM_CO2,Italy,ISIC4_C10T32X19,45.43
2011,EN_ATM_CO2,Italy,ISIC4_C10T32X19,44.06
2011,EN_ATM_CO2,Italy,TOTAL,384.11
2012,EN_ATM_CO2,Italy,TOTAL,366.68
2012,EN_ATM_CO2,Italy,ISIC4_C10T32X19,42.53
2013,EN_ATM_CO2,Italy,ISIC4_C10T32X19,37.32
2013,EN_ATM_CO2,Italy,TOTAL,337.58
2014,EN_ATM_CO2,Italy,TOTAL,319.16
2014,EN_ATM_CO2,Italy,ISIC4_C10T32X19,34.36
2015,EN_ATM_CO2,Italy,ISIC4_C10T32X19,34.14
2015,EN_ATM_CO2,Italy,TOTAL,329.66
2017,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.28
2017,EN_ATM_CO2,Belarus,TOTAL,54.02
2018,EN_ATM_CO2,Belarus,TOTAL,57.11
2018,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.36
2019,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.47
2019,EN_ATM_CO2,Belarus,TOTAL,55.41
2020,EN_ATM_CO2,Belarus,TOTAL,52.5
2020,EN_ATM_CO2,Belarus,ISIC4_C10T32X19,4.36
2000,EN_ATM_CO2,Canada,ISIC4_C10T32X19,65.47
2000,EN_ATM_CO2,Canada,TOTAL,503.46
2001,EN_ATM_CO2,Canada,ISIC4_C10T32X19,60.22
2001,EN_ATM_CO2,Canada,TOTAL,496.16
2002,EN_ATM_CO2,Canada,TOTAL,514.45
2002,EN_ATM_CO2,Canada,ISIC4_C10T32X19,60.07
2003,EN_ATM_CO2,Canada,ISIC4_C10T32X19,58.86
2003,EN_ATM_CO2,Canada,TOTAL,534.26
2004,EN_ATM_CO2,Canada,TOTAL,526.18
2004,EN_ATM_CO2,Canada,ISIC4_C10T32X19,62.05
2005,EN_ATM_CO2,Canada,ISIC4_C10T32X19,59.93
2005,EN_ATM_CO2,Canada,TOTAL,538.93
2006,EN_ATM_CO2,Canada,ISIC4_C10T32X19,56.42
2006,EN_ATM_CO2,Canada,TOTAL,529.56
2007,EN_ATM_CO2,Canada,TOTAL,560.12
2007,EN_ATM_CO2,Canada,ISIC4_C10T32X19,57.47
2008,EN_ATM_CO2,Canada,ISIC4_C10T32X19,54.11
2008,EN_ATM_CO2,Canada,TOTAL,539.96
2009,EN_ATM_CO2,Canada,TOTAL,512.59
2009,EN_ATM_CO2,Canada,ISIC4_C10T32X19,47.44
2010,EN_ATM_CO2,Canada,ISIC4_C10T32X19,50.92
2010,EN_ATM_CO2,Canada,TOTAL,526.29
2011,EN_ATM_CO2,Canada,TOTAL,538.74
2011,EN_ATM_CO2,Canada,ISIC4_C10T32X19,54.54
