Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2010,SH_PRV_SMOK,Viet Nam,15+,,BOTHSEX,27.0
2015,SH_PRV_SMOK,Viet Nam,15+,,MALE,49.4
2015,SH_PRV_SMOK,Viet Nam,15+,,FEMALE,2.6
2015,SH_PRV_SMOK,Viet Nam,15+,,BOTHSEX,26.0
2018,SH_PRV_SMOK,Viet Nam,15+,,BOTHSEX,25.0
2018,SH_PRV_SMOK,Viet Nam,15+,,FEMALE,2.3
2005,SH_PRV_SMOK,Armenia,15+,,FEMALE,2.0
2005,SH_PRV_SMOK,Armenia,15+,,BOTHSEX,30.3
2010,SH_PRV_SMOK,Armenia,15+,,MALE,55.4
2010,SH_PRV_SMOK,Armenia,15+,,FEMALE,1.8
2010,SH_PRV_SMOK,Armenia,15+,,BOTHSEX,28.6
2015,SH_PRV_SMOK,Armenia,15+,,BOTHSEX,26.9
2015,SH_PRV_SMOK,Armenia,15+,,MALE,52.0
2015,SH_PRV_SMOK,Armenia,15+,,FEMALE,1.7
2015,SH_PRV_SMOK,Finland,15+,,FEMALE,18.0
2015,SH_PRV_SMOK,Finland,15+,,BOTHSEX,24.5
2018,SH_PRV_SMOK,Finland,15+,,BOTHSEX,22.2
2018,SH_PRV_SMOK,Finland,15+,,FEMALE,17.0
2018,SH_PRV_SMOK,Finland,15+,,MALE,28.3
2019,SH_PRV_SMOK,Finland,15+,,BOTHSEX,22.2
2019,SH_PRV_SMOK,Finland,15+,,FEMALE,16.6
2019,SH_PRV_SMOK,Finland,15+,,MALE,27.7
2020,SH_PRV_SMOK,Finland,15+,,BOTHSEX,21.6
2020,SH_PRV_SMOK,Finland,15+,,FEMALE,16.3
2020,SH_PRV_SMOK,Finland,15+,,MALE,26.9
2000,SH_PRV_SMOK,France,15+,,BOTHSEX,34.2
2000,SH_PRV_SMOK,France,15+,,MALE,38.5
2000,SH_PRV_SMOK,France,15+,,FEMALE,29.8
2005,SH_PRV_SMOK,France,15+,,FEMALE,30.5
2005,SH_PRV_SMOK,France,15+,,MALE,37.7
2018,SH_PRV_SMOK,Viet Nam,15+,,MALE,48.3
2019,SH_PRV_SMOK,Viet Nam,15+,,FEMALE,2.2
2019,SH_PRV_SMOK,Viet Nam,15+,,MALE,47.8
2019,SH_PRV_SMOK,Viet Nam,15+,,BOTHSEX,25.0
2020,SH_PRV_SMOK,Viet Nam,15+,,BOTHSEX,24.8
2020,SH_PRV_SMOK,Viet Nam,15+,,FEMALE,2.2
2020,SH_PRV_SMOK,Viet Nam,15+,,MALE,47.4
2000,SH_PRV_SMOK,Slovenia,15+,,MALE,27.0
2005,SH_PRV_SMOK,France,15+,,BOTHSEX,34.1
2010,SH_PRV_SMOK,France,15+,,MALE,36.7
2010,SH_PRV_SMOK,France,15+,,FEMALE,30.9
2010,SH_PRV_SMOK,France,15+,,BOTHSEX,33.8
2015,SH_PRV_SMOK,France,15+,,MALE,35.9
2015,SH_PRV_SMOK,France,15+,,FEMALE,31.4
2015,SH_PRV_SMOK,France,15+,,BOTHSEX,33.7
2018,SH_PRV_SMOK,France,15+,,FEMALE,31.7
2018,SH_PRV_SMOK,France,15+,,BOTHSEX,33.6
2018,SH_PRV_SMOK,France,15+,,MALE,35.3
