Year,SeriesCode,Страна ,Age,Value
2006,FB_CBK_BRCH,Chile,15+,16.6158320514888
2007,FB_CBK_BRCH,Chile,15+,17.1842100618101
2008,FB_CBK_BRCH,Chile,15+,17.3649035003617
2009,FB_CBK_BRCH,Chile,15+,16.9561183607394
2010,FB_CBK_BRCH,Chile,15+,17.3601408608449
2011,FB_CBK_BRCH,Chile,15+,17.2585453151723
2012,FB_CBK_BRCH,Chile,15+,17.1816205499786
2013,FB_CBK_BRCH,Chile,15+,17.0210764922129
2014,FB_CBK_BRCH,Chile,15+,16.8044780840591
2015,FB_CBK_BRCH,Chile,15+,16.0856507658094
2016,FB_CBK_BRCH,Chile,15+,15.7172217547021
2017,FB_CBK_BRCH,Chile,15+,14.7983882077561
2018,FB_CBK_BRCH,Chile,15+,13.9659368206036
2019,FB_CBK_BRCH,Chile,15+,13.0493422436768
2020,FB_CBK_BRCH,Chile,15+,12.3069006800081
2021,FB_CBK_BRCH,Chile,15+,11.1444344411612
2012,FB_CBK_BRCH,China,15+,7.74006599537721
2013,FB_CBK_BRCH,China,15+,7.79770884971723
2014,FB_CBK_BRCH,China,15+,8.01410801420035
2015,FB_CBK_BRCH,China,15+,8.47850096155151
2016,FB_CBK_BRCH,China,15+,8.75628522259819
2017,FB_CBK_BRCH,China,15+,8.74991695765518
2018,FB_CBK_BRCH,China,15+,8.81267435090735
2019,FB_CBK_BRCH,China,15+,8.79809374675818
2006,FB_CBK_BRCH,Slovenia,15+,39.652399895031
2007,FB_CBK_BRCH,Slovenia,15+,40.2179121388001
2008,FB_CBK_BRCH,Slovenia,15+,39.3797516894258
2009,FB_CBK_BRCH,Slovenia,15+,39.5801204146858
2010,FB_CBK_BRCH,Slovenia,15+,38.7633195703685
2011,FB_CBK_BRCH,Slovenia,15+,38.3182870192971
2012,FB_CBK_BRCH,Slovenia,15+,38.4679759773731
2013,FB_CBK_BRCH,Slovenia,15+,34.4330153053902
2014,FB_CBK_BRCH,Slovenia,15+,31.8336162988115
