Year,SeriesCode,GeoAreaName,Disability status,Sex,Value
2012,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",6.46
2012,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",5.37
2012,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",3.52
2012,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",5.4
2013,"SL_TLF_UEMDIS_19ICLS","Malta","PD","MALE",17.83
2013,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",3.24
2013,"SL_TLF_UEMDIS_19ICLS","Malta","PD","BOTHSEX",17.76
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",6.07
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",8.45
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",6.82
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",9.84
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",9.8
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",7.05
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",5.65
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",7.23
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",4.18
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",4.26
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",5.78
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",13.67
2017,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",6.54
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",10.77
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",5.43
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",7.26
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",6.29
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",5.98
2013,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",5.34
2013,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",6.63
2013,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",6.74
2013,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",3.09
2013,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",5.46
2014,"SL_TLF_UEMDIS_19ICLS","Malta","PD","MALE",25.44
2014,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",6.51
2014,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",2.46
2014,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",5
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",4.96
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",4.85
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",5.64
2018,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",15.05
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",12.33
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",4.36
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",4.66
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",5.02
2019,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",6.5
2014,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",4.89
2014,"SL_TLF_UEMDIS_19ICLS","Malta","PD","BOTHSEX",20.95
2014,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",6.35
2014,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",2.46
2015,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",2.74
2015,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",5.79
2015,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",5.7
2015,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",4.62
