Year,SeriesCode,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.51
2021,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.23
2021,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.19
2021,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.31
2020,"SG_DMK_PSRVC","Luxembourg","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.06219
2020,"SG_DMK_PSRVC","Luxembourg","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.56997
2022,"SG_DMK_PSRVC","Malta","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.07
2022,"SG_DMK_PSRVC","Malta","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.11
2022,"SG_DMK_PSRVC","Malta","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.42
2022,"SG_DMK_PSRVC","Malta","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.5
2022,"SG_DMK_PSRVC","Malta","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.98
2022,"SG_DMK_PSRVC","Malta","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.38
2019,"SG_DMK_PSRVC","Mexico","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.55
2019,"SG_DMK_PSRVC","Mexico","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.04114
2019,"SG_DMK_PSRVC","Mexico","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.5
2020,"SG_DMK_PSRVC","Mexico","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.40178
2020,"SG_DMK_PSRVC","Mexico","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.53
2020,"SG_DMK_PSRVC","Mexico","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.11
2020,"SG_DMK_PSRVC","Republic of Moldova","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",0.78103
2021,"SG_DMK_PSRVC","Republic of Moldova","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",0.78
2020,"SG_DMK_PSRVC","Norway","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.86712
2020,"SG_DMK_PSRVC","Norway","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",1.71
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.19867
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.694
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.30984
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.03967
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.96471
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","POP_A","BOTHSEX","TOTAL_PSP",1
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","POP_B","BOTHSEX","TOTAL_PSP",0.63
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","POP_C","BOTHSEX","TOTAL_PSP",0.84
2020,"SG_DMK_PSRVC","Norway","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.06284
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","POP_B","BOTHSEX","TOTAL_PSP",0.65333
2021,"SG_DMK_PSRVC","Norway","ALLAGE","_T","POP_A","BOTHSEX","TOTAL_PSP",1.00375
2021,"SG_DMK_PSRVC","Norway","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.89286
