Year,SeriesCode,GeoAreaName,Fiscal intervention stage,Value
2017,"SI_DST_FISP","Norway","POSTFIS_DIS_INC",27.254000
2017,"SI_DST_FISP","Norway","PREFIS_INC",38.869000
2018,"SI_DST_FISP","Norway","PREFIS_INC",38.700000
2018,"SI_DST_FISP","Norway","POSTFIS_DIS_INC",27.300000
2019,"SI_DST_FISP","Norway","POSTFIS_DIS_INC",27.300000
2019,"SI_DST_FISP","Norway","PREFIS_INC",38.500000
2015,"SI_DST_FISP","Poland","POSTFIS_DIS_INC",30.117888
2015,"SI_DST_FISP","Poland","PREFIS_INC",41.842816
2016,"SI_DST_FISP","Poland","POSTFIS_DIS_INC",29.468600
2016,"SI_DST_FISP","Poland","PREFIS_INC",40.462221
2017,"SI_DST_FISP","Poland","POSTFIS_DIS_INC",29.095158
2017,"SI_DST_FISP","Poland","PREFIS_INC",40.869034
2018,"SI_DST_FISP","Poland","PREFIS_INC",39.422587
2018,"SI_DST_FISP","Poland","POSTFIS_DIS_INC",28.119384
2019,"SI_DST_FISP","Poland","POSTFIS_DIS_INC",28.469019
2019,"SI_DST_FISP","Poland","PREFIS_INC",39.741538
2015,"SI_DST_FISP","Portugal","POSTFIS_DIS_INC",33.995877
2015,"SI_DST_FISP","Portugal","PREFIS_INC",48.332607
2016,"SI_DST_FISP","Portugal","POSTFIS_DIS_INC",33.393286
2016,"SI_DST_FISP","Portugal","PREFIS_INC",47.236374
2017,"SI_DST_FISP","Portugal","POSTFIS_DIS_INC",32.826442
2017,"SI_DST_FISP","Portugal","PREFIS_INC",46.538426
2018,"SI_DST_FISP","Portugal","PREFIS_INC",44.348024
2018,"SI_DST_FISP","Portugal","POSTFIS_DIS_INC",31.361868
2019,"SI_DST_FISP","Portugal","PREFIS_INC",43.307604
2019,"SI_DST_FISP","Portugal","POSTFIS_DIS_INC",31.018490
2020,"SI_DST_FISP","Portugal","POSTFIS_DIS_INC",30.384902
2020,"SI_DST_FISP","Portugal","PREFIS_INC",42.984025
2016,"SI_DST_FISP","Romania","POSTFIS_DIS_INC",33.412760
2016,"SI_DST_FISP","Romania","POSTFIS_CON_INC",33.636440
2016,"SI_DST_FISP","Romania","PREFIS_INC",37.809160
2015,"SI_DST_FISP","Slovakia","PREFIS_INC",34.010291
2015,"SI_DST_FISP","Slovakia","POSTFIS_DIS_INC",24.392678
2016,"SI_DST_FISP","Slovakia","POSTFIS_DIS_INC",25.036227
2016,"SI_DST_FISP","Slovakia","PREFIS_INC",34.799744
2017,"SI_DST_FISP","Slovakia","PREFIS_INC",34.118518
2017,"SI_DST_FISP","Slovakia","POSTFIS_DIS_INC",23.714747
2018,"SI_DST_FISP","Slovakia","POSTFIS_DIS_INC",21.472667
2018,"SI_DST_FISP","Slovakia","PREFIS_INC",31.842389
2019,"SI_DST_FISP","Slovakia","PREFIS_INC",32.259128
2019,"SI_DST_FISP","Slovakia","POSTFIS_DIS_INC",23.183945
2020,"SI_DST_FISP","Slovakia","PREFIS_INC",31.576311
2020,"SI_DST_FISP","Slovakia","POSTFIS_DIS_INC",21.738061
2015,"SI_DST_FISP","Slovenia","POSTFIS_DIS_INC",25.083501
2015,"SI_DST_FISP","Slovenia","PREFIS_INC",40.547489
2016,"SI_DST_FISP","Slovenia","PREFIS_INC",40.010303
2016,"SI_DST_FISP","Slovenia","POSTFIS_DIS_INC",24.833359
2017,"SI_DST_FISP","Slovenia","PREFIS_INC",39.002448
2017,"SI_DST_FISP","Slovenia","POSTFIS_DIS_INC",24.316916
2018,"SI_DST_FISP","Slovenia","PREFIS_INC",37.873212
2018,"SI_DST_FISP","Slovenia","POSTFIS_DIS_INC",24.075876
2019,"SI_DST_FISP","Slovenia","POSTFIS_DIS_INC",24.637664
2019,"SI_DST_FISP","Slovenia","PREFIS_INC",37.657837
2020,"SI_DST_FISP","Slovenia","POSTFIS_DIS_INC",24.487304
2020,"SI_DST_FISP","Slovenia","PREFIS_INC",37.810875
2015,"SI_DST_FISP","Spain","PREFIS_INC",47.619748
2015,"SI_DST_FISP","Spain","POSTFIS_DIS_INC",34.901388
2016,"SI_DST_FISP","Spain","PREFIS_INC",47.295211
2016,"SI_DST_FISP","Spain","POSTFIS_DIS_INC",34.955799
2017,"SI_DST_FISP","Spain","PREFIS_INC",46.104511
2017,"SI_DST_FISP","Spain","POSTFIS_DIS_INC",34.271744
2018,"SI_DST_FISP","Spain","PREFIS_INC",45.129882
2018,"SI_DST_FISP","Spain","POSTFIS_DIS_INC",33.583365
2019,"SI_DST_FISP","Spain","PREFIS_INC",44.583225
2019,"SI_DST_FISP","Spain","POSTFIS_DIS_INC",33.181149
2020,"SI_DST_FISP","Spain","PREFIS_INC",42.961127
2020,"SI_DST_FISP","Spain","POSTFIS_DIS_INC",31.880823
2015,"SI_DST_FISP","Sweden","POSTFIS_DIS_INC",26.854000
2015,"SI_DST_FISP","Sweden","PREFIS_INC",36.396000
2016,"SI_DST_FISP","Sweden","PREFIS_INC",36.631000
2016,"SI_DST_FISP","Sweden","POSTFIS_DIS_INC",27.289000
2017,"SI_DST_FISP","Sweden","PREFIS_INC",36.480000
2017,"SI_DST_FISP","Sweden","POSTFIS_DIS_INC",27.264000
2018,"SI_DST_FISP","Sweden","POSTFIS_DIS_INC",26.615000
2018,"SI_DST_FISP","Sweden","PREFIS_INC",35.899000
2019,"SI_DST_FISP","Sweden","PREFIS_INC",36.152300
2019,"SI_DST_FISP","Sweden","POSTFIS_DIS_INC",27.091100
2015,"SI_DST_FISP","Switzerland","PREFIS_INC",33.573833
2015,"SI_DST_FISP","Switzerland","POSTFIS_DIS_INC",28.666564
2016,"SI_DST_FISP","Switzerland","POSTFIS_DIS_INC",28.682524
2016,"SI_DST_FISP","Switzerland","PREFIS_INC",34.225117
2017,"SI_DST_FISP","Switzerland","POSTFIS_DIS_INC",29.241377
2017,"SI_DST_FISP","Switzerland","PREFIS_INC",34.494378
2018,"SI_DST_FISP","Switzerland","PREFIS_INC",33.991082
2018,"SI_DST_FISP","Switzerland","POSTFIS_DIS_INC",28.974659
2019,"SI_DST_FISP","Switzerland","PREFIS_INC",34.420673
2019,"SI_DST_FISP","Switzerland","POSTFIS_DIS_INC",29.918243
2015,"SI_DST_FISP","Tajikistan","PREFIS_INC",34.207490
2015,"SI_DST_FISP","Tajikistan","POSTFIS_CON_INC",33.898790
2015,"SI_DST_FISP","Tajikistan","POSTFIS_DIS_INC",33.932550
2015,"SI_DST_FISP","Türkiye","PREFIS_INC",40.900000
2015,"SI_DST_FISP","Türkiye","POSTFIS_DIS_INC",38.900000
2016,"SI_DST_FISP","Türkiye","PREFIS_INC",41.800000
2016,"SI_DST_FISP","Türkiye","POSTFIS_DIS_INC",39.800000
2018,"SI_DST_FISP","Türkiye","PREFIS_INC",48.721100
2018,"SI_DST_FISP","Türkiye","POSTFIS_DIS_INC",39.960000
2019,"SI_DST_FISP","Türkiye","POSTFIS_DIS_INC",38.865900
2019,"SI_DST_FISP","Türkiye","PREFIS_INC",47.729600
2016,"SI_DST_FISP","Ukraine","PREFIS_INC",31.110000
2016,"SI_DST_FISP","Ukraine","POSTFIS_DIS_INC",24.100000
2016,"SI_DST_FISP","Ukraine","POSTFIS_CON_INC",24.700000
2015,"SI_DST_FISP","United Kingdom of Great Britain and Northern Ireland","POSTFIS_DIS_INC",36.017301
2015,"SI_DST_FISP","United Kingdom of Great Britain and Northern Ireland","PREFIS_INC",46.991278
2016,"SI_DST_FISP","United Kingdom of Great Britain and Northern Ireland","POSTFIS_DIS_INC",34.800000
2016,"SI_DST_FISP","United Kingdom of Great Britain and Northern Ireland","PREFIS_INC",45.400000
2017,"SI_DST_FISP","United Kingdom of Great Britain and Northern Ireland","PREFIS_INC",45.400000
