Year,SeriesCode,GeoAreaName,Type of product,Value
2012,"EN_MAT_DOMCMPC","Albania","WOD",0.26894
2012,"EN_MAT_DOMCMPC","Albania","ONT",0
2012,"EN_MAT_DOMCMPC","Albania","NMC",4.95679
2012,"EN_MAT_DOMCMPC","Albania","BIM",3.15637
2013,"EN_MAT_DOMCMPC","Albania","CPR",0.39895
2013,"EN_MAT_DOMCMPC","Albania","NMM",3.92723
2013,"EN_MAT_DOMCMPC","Albania","PET",0.01365
2013,"EN_MAT_DOMCMPC","Albania","MEO",0.11633
2013,"EN_MAT_DOMCMPC","Albania","WCH",0.00524
2013,"EN_MAT_DOMCMPC","Albania","GBO",1.42612
2013,"EN_MAT_DOMCMPC","Albania","FOF",0.19387
2013,"EN_MAT_DOMCMPC","Albania","CRO",1.06827
2013,"EN_MAT_DOMCMPC","Albania","WOD",0.28903
2013,"EN_MAT_DOMCMPC","Albania","COL",0.17602
2013,"EN_MAT_DOMCMPC","Albania","FEO",-0.07928
2013,"EN_MAT_DOMCMPC","Albania","NFO",0.19561
2013,"EN_MAT_DOMCMPC","Albania","ALP",8.08551
2013,"EN_MAT_DOMCMPC","Albania","NMC",3.63229
2013,"EN_MAT_DOMCMPC","Albania","NMA",0.29494
2013,"EN_MAT_DOMCMPC","Albania","BIM",3.18761
2013,"EN_MAT_DOMCMPC","Albania","ONT",0
2013,"EN_MAT_DOMCMPC","Albania","GAS",0.00421
2014,"EN_MAT_DOMCMPC","Albania","PET",0.12464
2014,"EN_MAT_DOMCMPC","Albania","BIM",3.21053
2014,"EN_MAT_DOMCMPC","Albania","MEO",0.27751
2014,"EN_MAT_DOMCMPC","Albania","GAS",0.00718
2014,"EN_MAT_DOMCMPC","Albania","NFO",0.36204
2014,"EN_MAT_DOMCMPC","Albania","ALP",10.19502
2014,"EN_MAT_DOMCMPC","Albania","ONT",0
2014,"EN_MAT_DOMCMPC","Albania","NMM",5.47648
2014,"EN_MAT_DOMCMPC","Albania","WCH",0.00532
2014,"EN_MAT_DOMCMPC","Albania","COL",0.22779
2014,"EN_MAT_DOMCMPC","Albania","CPR",0.40426
2014,"EN_MAT_DOMCMPC","Albania","CRO",1.06295
2014,"EN_MAT_DOMCMPC","Albania","GBO",1.44931
