Year,SeriesCode,GeoAreaName,Mode of transportation,Value
2010,"IS_RDP_PORFVOL","Poland","SEA",1054000
2011,"IS_RDP_PORFVOL","Poland","SEA",1357084
2012,"IS_RDP_PORFVOL","Poland","SEA",1656900
2013,"IS_RDP_PORFVOL","Poland","SEA",1969923
2014,"IS_RDP_PORFVOL","Poland","SEA",2139454
2015,"IS_RDP_PORFVOL","Poland","SEA",1860800
2016,"IS_RDP_PORFVOL","Poland","SEA",2028577
2017,"IS_RDP_PORFVOL","Poland","SEA",2385600
2018,"IS_RDP_PORFVOL","Poland","SEA",2834400
2019,"IS_RDP_PORFVOL","Poland","SEA",3045903
2020,"IS_RDP_PORFVOL","Poland","SEA",2904684
2010,"IS_RDP_PORFVOL","Portugal","SEA",1399648
2011,"IS_RDP_PORFVOL","Portugal","SEA",1704024
2012,"IS_RDP_PORFVOL","Portugal","SEA",1871200
2013,"IS_RDP_PORFVOL","Portugal","SEA",2305700
2014,"IS_RDP_PORFVOL","Portugal","SEA",2596300
2015,"IS_RDP_PORFVOL","Portugal","SEA",2702500
2016,"IS_RDP_PORFVOL","Portugal","SEA",2919300
2017,"IS_RDP_PORFVOL","Portugal","SEA",3177500
2018,"IS_RDP_PORFVOL","Portugal","SEA",3191600
2019,"IS_RDP_PORFVOL","Portugal","SEA",2724700
2020,"IS_RDP_PORFVOL","Portugal","SEA",2800800
2010,"IS_RDP_PORFVOL","Romania","SEA",557000
2011,"IS_RDP_PORFVOL","Romania","SEA",663000
2012,"IS_RDP_PORFVOL","Romania","SEA",684000
2013,"IS_RDP_PORFVOL","Romania","SEA",661000
2014,"IS_RDP_PORFVOL","Romania","SEA",668000
2015,"IS_RDP_PORFVOL","Romania","SEA",699000
2016,"IS_RDP_PORFVOL","Romania","SEA",721339
2017,"IS_RDP_PORFVOL","Romania","SEA",696400
2018,"IS_RDP_PORFVOL","Romania","SEA",668000
2019,"IS_RDP_PORFVOL","Romania","SEA",664695
2020,"IS_RDP_PORFVOL","Romania","SEA",643725
2010,"IS_RDP_PORFVOL","Viet Nam","SEA",5886249
2011,"IS_RDP_PORFVOL","Viet Nam","SEA",6924430
2012,"IS_RDP_PORFVOL","Viet Nam","SEA",7372468
2013,"IS_RDP_PORFVOL","Viet Nam","SEA",8254299
2014,"IS_RDP_PORFVOL","Viet Nam","SEA",8149626
2015,"IS_RDP_PORFVOL","Viet Nam","SEA",8841833
2016,"IS_RDP_PORFVOL","Viet Nam","SEA",8967705
2017,"IS_RDP_PORFVOL","Viet Nam","SEA",9390935
2018,"IS_RDP_PORFVOL","Viet Nam","SEA",9905940
