Year,SeriesCode,Country,Age,Freq,Location,Sex,Type of speed,Value
2012,IT_NET_BBNDN,Azerbaijan,,,,,ANYS,1369594.0
2012,IT_NET_BBNDN,Azerbaijan,,,,,256KT2MBPS,1072958.0
2012,IT_NET_BBNDN,Azerbaijan,,,,,2MT10MBPS,167340.0
2012,IT_NET_BBNDN,Azerbaijan,,,,,10MBPS,40237.0
2013,IT_NET_BBNDN,Azerbaijan,,,,,ANYS,1712177.0
2018,IT_NET_BBNDN,Mexico,,,,,2MT10MBPS,1989430.0
2018,IT_NET_BBNDN,Mexico,,,,,256KT2MBPS,319193.0
2018,IT_NET_BBNDN,Mexico,,,,,ANYS,18358920.0
2019,IT_NET_BBNDN,Mexico,,,,,2MT10MBPS,1025000.0
2019,IT_NET_BBNDN,Mexico,,,,,256KT2MBPS,279970.0
2019,IT_NET_BBNDN,Mexico,,,,,ANYS,19353056.0
2013,IT_NET_BBNDN,Azerbaijan,,,,,10MBPS,98247.0
2013,IT_NET_BBNDN,Azerbaijan,,,,,256KT2MBPS,1001082.0
2013,IT_NET_BBNDN,Azerbaijan,,,,,2MT10MBPS,504029.0
2014,IT_NET_BBNDN,Azerbaijan,,,,,10MBPS,142828.0
2014,IT_NET_BBNDN,Azerbaijan,,,,,ANYS,1898070.0
2014,IT_NET_BBNDN,Azerbaijan,,,,,256KT2MBPS,1056471.0
2014,IT_NET_BBNDN,Azerbaijan,,,,,2MT10MBPS,698771.0
2015,IT_NET_BBNDN,Azerbaijan,,,,,ANYS,1899456.0
2015,IT_NET_BBNDN,Azerbaijan,,,,,256KT2MBPS,1016209.0
2015,IT_NET_BBNDN,Azerbaijan,,,,,2MT10MBPS,729391.0
2015,IT_NET_BBNDN,Azerbaijan,,,,,10MBPS,153856.0
2016,IT_NET_BBNDN,Azerbaijan,,,,,ANYS,1803662.0
2010,IT_NET_BBNDN,Denmark,,,,,10MBPS,1004133.0
2010,IT_NET_BBNDN,Denmark,,,,,2MT10MBPS,992839.0
2010,IT_NET_BBNDN,Denmark,,,,,256KT2MBPS,67642.0
2011,IT_NET_BBNDN,Denmark,,,,,2MT10MBPS,630815.0
2011,IT_NET_BBNDN,Denmark,,,,,10MBPS,1409380.0
2011,IT_NET_BBNDN,Denmark,,,,,ANYS,2143247.0
2011,IT_NET_BBNDN,Denmark,,,,,256KT2MBPS,54663.0
2012,IT_NET_BBNDN,Denmark,,,,,ANYS,2179545.0
2012,IT_NET_BBNDN,Denmark,,,,,10MBPS,1627117.0
2012,IT_NET_BBNDN,Denmark,,,,,2MT10MBPS,488581.0
2012,IT_NET_BBNDN,Denmark,,,,,256KT2MBPS,55086.0
2013,IT_NET_BBNDN,Denmark,,,,,ANYS,2272401.0
2019,IT_NET_BBNDN,Mexico,,,,,10MBPS,17863937.0
2020,IT_NET_BBNDN,Mexico,,,,,ANYS,22509439.0
2020,IT_NET_BBNDN,Mexico,,,,,2MT10MBPS,1331858.0
2020,IT_NET_BBNDN,Mexico,,,,,10MBPS,20478069.0
2020,IT_NET_BBNDN,Mexico,,,,,256KT2MBPS,243028.0
2021,IT_NET_BBNDN,Mexico,,,,,10MBPS,22436879.0
2013,IT_NET_BBNDN,Denmark,,,,,10MBPS,1890816.0
2013,IT_NET_BBNDN,Denmark,,,,,2MT10MBPS,333943.0
2013,IT_NET_BBNDN,Denmark,,,,,256KT2MBPS,47642.0
2014,IT_NET_BBNDN,Denmark,,,,,256KT2MBPS,39787.0
2014,IT_NET_BBNDN,Denmark,,,,,ANYS,2341759.0
2014,IT_NET_BBNDN,Denmark,,,,,10MBPS,2038770.0
2014,IT_NET_BBNDN,Denmark,,,,,2MT10MBPS,263202.0
2015,IT_NET_BBNDN,Denmark,,,,,ANYS,2404962.0
2015,IT_NET_BBNDN,Denmark,,,,,10MBPS,2176758.0
2015,IT_NET_BBNDN,Denmark,,,,,2MT10MBPS,191372.0
2015,IT_NET_BBNDN,Denmark,,,,,256KT2MBPS,36832.0
2016,IT_NET_BBNDN,Denmark,,,,,ANYS,2461403.0
2016,IT_NET_BBNDN,Azerbaijan,,,,,256KT2MBPS,973977.0
2016,IT_NET_BBNDN,Azerbaijan,,,,,2MT10MBPS,685392.0
2016,IT_NET_BBNDN,Azerbaijan,,,,,10MBPS,144293.0
2017,IT_NET_BBNDN,Azerbaijan,,,,,256KT2MBPS,920659.0
2017,IT_NET_BBNDN,Azerbaijan,,,,,ANYS,1805214.0
2017,IT_NET_BBNDN,Azerbaijan,,,,,10MBPS,146609.0
2017,IT_NET_BBNDN,Azerbaijan,,,,,2MT10MBPS,737946.0
2018,IT_NET_BBNDN,Azerbaijan,,,,,ANYS,1890913.0
2018,IT_NET_BBNDN,Azerbaijan,,,,,256KT2MBPS,850550.0
2018,IT_NET_BBNDN,Azerbaijan,,,,,2MT10MBPS,831649.0
2018,IT_NET_BBNDN,Azerbaijan,,,,,10MBPS,208714.0
2021,IT_NET_BBNDN,Mexico,,,,,2MT10MBPS,1376355.0
