Year,SeriesCode,Country,Age,Sex,Value
2004,IC_GEN_MGTL_19ICLS,Czechia,,Female,27.81
2005,IC_GEN_MGTL_19ICLS,Czechia,,Female,29.62
2006,IC_GEN_MGTL_19ICLS,Czechia,,Female,28.86
2007,IC_GEN_MGTL_19ICLS,Czechia,,Female,28.62
2008,IC_GEN_MGTL_19ICLS,Czechia,,Female,28.06
2009,IC_GEN_MGTL_19ICLS,Czechia,,Female,28.99
2010,IC_GEN_MGTL_19ICLS,Czechia,,Female,27.71
2011,IC_GEN_MGTL_19ICLS,Czechia,,Female,25.51
2012,IC_GEN_MGTL_19ICLS,Czechia,,Female,26.02
2013,IC_GEN_MGTL_19ICLS,Czechia,,Female,26.99
2014,IC_GEN_MGTL_19ICLS,Czechia,,Female,27.58
2015,IC_GEN_MGTL_19ICLS,Czechia,,Female,29.23
2016,IC_GEN_MGTL_19ICLS,Czechia,,Female,25.29
2017,IC_GEN_MGTL_19ICLS,Czechia,,Female,24.48
2018,IC_GEN_MGTL_19ICLS,Czechia,,Female,26.38
2019,IC_GEN_MGTL_19ICLS,Czechia,,Female,26.8
2020,IC_GEN_MGTL_19ICLS,Czechia,,Female,27.78
2021,IC_GEN_MGTL_19ICLS,Czechia,,Female,28.37
2008,IC_GEN_MGTL_19ICLS,Moldova,,Female,37.94
2009,IC_GEN_MGTL_19ICLS,Moldova,,Female,38.65
2010,IC_GEN_MGTL_19ICLS,Moldova,,Female,36.43
2011,IC_GEN_MGTL_19ICLS,Moldova,,Female,39.37
2012,IC_GEN_MGTL_19ICLS,Moldova,,Female,44.11
2013,IC_GEN_MGTL_19ICLS,Moldova,,Female,39.17
2014,IC_GEN_MGTL_19ICLS,Moldova,,Female,42.57
2015,IC_GEN_MGTL_19ICLS,Moldova,,Female,48.47
2016,IC_GEN_MGTL_19ICLS,Moldova,,Female,46.6
2000,IC_GEN_MGTL_19ICLS,Denmark,,Female,24.19
2001,IC_GEN_MGTL_19ICLS,Denmark,,Female,20.97
2002,IC_GEN_MGTL_19ICLS,Denmark,,Female,21.37
2003,IC_GEN_MGTL_19ICLS,Denmark,,Female,25.77
2004,IC_GEN_MGTL_19ICLS,Denmark,,Female,23.76
2005,IC_GEN_MGTL_19ICLS,Denmark,,Female,24.19
2006,IC_GEN_MGTL_19ICLS,Denmark,,Female,24.5
2007,IC_GEN_MGTL_19ICLS,Denmark,,Female,28.3
2008,IC_GEN_MGTL_19ICLS,Denmark,,Female,23.64
2009,IC_GEN_MGTL_19ICLS,Denmark,,Female,24.57
2010,IC_GEN_MGTL_19ICLS,Denmark,,Female,21.91
2011,IC_GEN_MGTL_19ICLS,Denmark,,Female,27.82
2012,IC_GEN_MGTL_19ICLS,Denmark,,Female,28.36
2013,IC_GEN_MGTL_19ICLS,Denmark,,Female,26.73
2014,IC_GEN_MGTL_19ICLS,Denmark,,Female,26.01
2015,IC_GEN_MGTL_19ICLS,Denmark,,Female,26.31
2016,IC_GEN_MGTL_19ICLS,Denmark,,Female,27.49
2017,IC_GEN_MGTL_19ICLS,Denmark,,Female,26.26
2018,IC_GEN_MGTL_19ICLS,Denmark,,Female,26.08
2019,IC_GEN_MGTL_19ICLS,Denmark,,Female,26.76
2020,IC_GEN_MGTL_19ICLS,Denmark,,Female,27.86
2021,IC_GEN_MGTL_19ICLS,Denmark,,Female,28.32
2000,IC_GEN_MGTL_19ICLS,Estonia,,Female,40.38
2001,IC_GEN_MGTL_19ICLS,Estonia,,Female,36.9
2002,IC_GEN_MGTL_19ICLS,Estonia,,Female,37.93
2003,IC_GEN_MGTL_19ICLS,Estonia,,Female,31.23
2004,IC_GEN_MGTL_19ICLS,Estonia,,Female,35.18
2005,IC_GEN_MGTL_19ICLS,Estonia,,Female,37.22
2006,IC_GEN_MGTL_19ICLS,Estonia,,Female,33.01
2007,IC_GEN_MGTL_19ICLS,Estonia,,Female,33.52
2008,IC_GEN_MGTL_19ICLS,Estonia,,Female,35.94
2009,IC_GEN_MGTL_19ICLS,Estonia,,Female,35.32
2010,IC_GEN_MGTL_19ICLS,Estonia,,Female,36.08
2011,IC_GEN_MGTL_19ICLS,Estonia,,Female,35.36
2012,IC_GEN_MGTL_19ICLS,Estonia,,Female,31.79
2013,IC_GEN_MGTL_19ICLS,Estonia,,Female,33.39
2014,IC_GEN_MGTL_19ICLS,Estonia,,Female,32.6
2015,IC_GEN_MGTL_19ICLS,Estonia,,Female,30.72
2016,IC_GEN_MGTL_19ICLS,Estonia,,Female,36.24
2017,IC_GEN_MGTL_19ICLS,Estonia,,Female,38.51
2018,IC_GEN_MGTL_19ICLS,Estonia,,Female,36.07
2019,IC_GEN_MGTL_19ICLS,Estonia,,Female,37.16
2020,IC_GEN_MGTL_19ICLS,Estonia,,Female,37.43
2000,IC_GEN_MGTL_19ICLS,Finland,,Female,26.64
2001,IC_GEN_MGTL_19ICLS,Finland,,Female,27.92
2002,IC_GEN_MGTL_19ICLS,Finland,,Female,28.36
2003,IC_GEN_MGTL_19ICLS,Finland,,Female,28.62
2004,IC_GEN_MGTL_19ICLS,Finland,,Female,28.17
2005,IC_GEN_MGTL_19ICLS,Finland,,Female,30.46
2006,IC_GEN_MGTL_19ICLS,Finland,,Female,30.03
2007,IC_GEN_MGTL_19ICLS,Finland,,Female,27.71
2008,IC_GEN_MGTL_19ICLS,Finland,,Female,29.93
2009,IC_GEN_MGTL_19ICLS,Finland,,Female,30.56
2010,IC_GEN_MGTL_19ICLS,Finland,,Female,28.47
2011,IC_GEN_MGTL_19ICLS,Finland,,Female,32.53
2012,IC_GEN_MGTL_19ICLS,Finland,,Female,31.88
2013,IC_GEN_MGTL_19ICLS,Finland,,Female,30.29
2014,IC_GEN_MGTL_19ICLS,Finland,,Female,32.94
2015,IC_GEN_MGTL_19ICLS,Finland,,Female,36.61
2016,IC_GEN_MGTL_19ICLS,Finland,,Female,30.96
2017,IC_GEN_MGTL_19ICLS,Finland,,Female,32.68
2018,IC_GEN_MGTL_19ICLS,Finland,,Female,30.61
2019,IC_GEN_MGTL_19ICLS,Finland,,Female,32.53
2020,IC_GEN_MGTL_19ICLS,Finland,,Female,40.8
2021,IC_GEN_MGTL_19ICLS,Finland,,Female,35.88
2000,IC_GEN_MGTL_19ICLS,France,,Female,34.85
2001,IC_GEN_MGTL_19ICLS,France,,Female,35.52
2002,IC_GEN_MGTL_19ICLS,France,,Female,36.43
2003,IC_GEN_MGTL_19ICLS,France,,Female,34.68
2004,IC_GEN_MGTL_19ICLS,France,,Female,36.1
2005,IC_GEN_MGTL_19ICLS,France,,Female,37.6
2006,IC_GEN_MGTL_19ICLS,France,,Female,37.88
2007,IC_GEN_MGTL_19ICLS,France,,Female,37.83
2008,IC_GEN_MGTL_19ICLS,France,,Female,38.5
2009,IC_GEN_MGTL_19ICLS,France,,Female,38.09
2010,IC_GEN_MGTL_19ICLS,France,,Female,38.54
2011,IC_GEN_MGTL_19ICLS,France,,Female,39.34
2012,IC_GEN_MGTL_19ICLS,France,,Female,39.32
2013,IC_GEN_MGTL_19ICLS,France,,Female,36.0
2014,IC_GEN_MGTL_19ICLS,France,,Female,32.74
2015,IC_GEN_MGTL_19ICLS,France,,Female,31.66
2016,IC_GEN_MGTL_19ICLS,France,,Female,32.91
2017,IC_GEN_MGTL_19ICLS,France,,Female,33.44
2018,IC_GEN_MGTL_19ICLS,France,,Female,34.44
2019,IC_GEN_MGTL_19ICLS,France,,Female,34.67
2020,IC_GEN_MGTL_19ICLS,France,,Female,35.53
2021,IC_GEN_MGTL_19ICLS,France,,Female,37.79
2020,IC_GEN_MGTL_19ICLS,Georgia,,Female,36.13
2021,IC_GEN_MGTL_19ICLS,Georgia,,Female,36.0
2000,IC_GEN_MGTL_19ICLS,Germany,,Female,27.08
2001,IC_GEN_MGTL_19ICLS,Germany,,Female,26.87
2002,IC_GEN_MGTL_19ICLS,Germany,,Female,27.3
