Year,SeriesCode,Country,Activity,Sex,Value
2011,SL_ISV_IFEM,Costa Rica,TOTAL,Female,41.03
2011,SL_ISV_IFEM,Costa Rica,NONAGR,Male,30.13
2011,SL_ISV_IFEM,Costa Rica,ISIC4_A,Male,57.15
2011,SL_ISV_IFEM,Costa Rica,NONAGR,Both sexes,32.91
2011,SL_ISV_IFEM,Costa Rica,ISIC4_A,Both sexes,62.66
2011,SL_ISV_IFEM,Costa Rica,TOTAL,Male,34.76
2012,SL_ISV_IFEM,Costa Rica,NONAGR,Female,41.39
2012,SL_ISV_IFEM,Costa Rica,ISIC4_A,Female,80.15
2011,SL_ISV_IFEM,Greece,TOTAL,Both sexes,7.81
2011,SL_ISV_IFEM,Greece,NONAGR,Female,9.64
2011,SL_ISV_IFEM,Greece,TOTAL,Female,13.49
2011,SL_ISV_IFEM,Greece,ISIC4_A,Female,43.68
2011,SL_ISV_IFEM,Greece,NONAGR,Male,3.16
2011,SL_ISV_IFEM,Greece,NONAGR,Both sexes,5.82
2011,SL_ISV_IFEM,Greece,ISIC4_A,Male,9.52
2011,SL_ISV_IFEM,Greece,TOTAL,Male,3.81
2011,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,24.4
2012,SL_ISV_IFEM,Greece,NONAGR,Female,9.28
2012,SL_ISV_IFEM,Greece,TOTAL,Both sexes,7.73
2012,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,20.46
2012,SL_ISV_IFEM,Greece,ISIC4_A,Female,35.48
2012,SL_ISV_IFEM,Greece,NONAGR,Male,3.95
2012,SL_ISV_IFEM,Greece,TOTAL,Female,12.55
2012,SL_ISV_IFEM,Greece,NONAGR,Both sexes,6.1
2012,SL_ISV_IFEM,Greece,ISIC4_A,Male,8.15
2012,SL_ISV_IFEM,Greece,TOTAL,Male,4.39
2018,SL_ISV_IFEM,Albania,TOTAL,Male,60.21
2018,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,98.87
2018,SL_ISV_IFEM,Albania,TOTAL,Both sexes,57.86
2019,SL_ISV_IFEM,Albania,TOTAL,Female,53.84
2019,SL_ISV_IFEM,Albania,ISIC4_A,Female,99.81
2019,SL_ISV_IFEM,Albania,NONAGR,Female,21.14
2019,SL_ISV_IFEM,Albania,ISIC4_A,Male,99.03
2019,SL_ISV_IFEM,Albania,TOTAL,Both sexes,56.69
2019,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,99.43
2019,SL_ISV_IFEM,Albania,NONAGR,Both sexes,32.22
2012,SL_ISV_IFEM,Costa Rica,TOTAL,Female,44.31
2012,SL_ISV_IFEM,Costa Rica,ISIC4_A,Male,58.01
2012,SL_ISV_IFEM,Costa Rica,NONAGR,Male,31.23
2012,SL_ISV_IFEM,Costa Rica,NONAGR,Both sexes,35.44
2012,SL_ISV_IFEM,Costa Rica,ISIC4_A,Both sexes,62.82
2012,SL_ISV_IFEM,Costa Rica,TOTAL,Both sexes,39.11
2012,SL_ISV_IFEM,Costa Rica,TOTAL,Male,35.82
2013,SL_ISV_IFEM,Costa Rica,TOTAL,Female,46.44
2013,SL_ISV_IFEM,Costa Rica,TOTAL,Both sexes,40.87
2013,SL_ISV_IFEM,Costa Rica,NONAGR,Male,32.95
2013,SL_ISV_IFEM,Greece,TOTAL,Both sexes,8.23
2013,SL_ISV_IFEM,Greece,NONAGR,Both sexes,6.83
2013,SL_ISV_IFEM,Greece,ISIC4_A,Male,10.96
2013,SL_ISV_IFEM,Greece,TOTAL,Male,5.38
2013,SL_ISV_IFEM,Greece,NONAGR,Male,4.65
2013,SL_ISV_IFEM,Greece,TOTAL,Female,12.27
2013,SL_ISV_IFEM,Greece,ISIC4_A,Female,33.42
2013,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,19.56
2013,SL_ISV_IFEM,Greece,NONAGR,Female,9.88
2014,SL_ISV_IFEM,Greece,ISIC4_A,Female,28.49
2014,SL_ISV_IFEM,Greece,ISIC4_A,Male,9.31
2014,SL_ISV_IFEM,Greece,NONAGR,Both sexes,6.75
2014,SL_ISV_IFEM,Greece,NONAGR,Female,8.93
2014,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,16.76
2014,SL_ISV_IFEM,Greece,TOTAL,Both sexes,7.99
