Year,SeriesCode,Country,Activity,Value
2020,ER_H2O_WUEYST,Albania,TOTAL,12.1
2020,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,1.72
2020,ER_H2O_WUEYST,Albania,ISIC4_GTT,28.53
2000,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,1.27
2000,ER_H2O_WUEYST,Azerbaijan,TOTAL,0.98
2000,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.21
2000,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,5.25
2016,ER_H2O_WUEYST,Cyprus,INDUSTRIES,458.0
2016,ER_H2O_WUEYST,Cyprus,TOTAL,58.08
2017,ER_H2O_WUEYST,Cyprus,INDUSTRIES,125.24
2017,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,0.71
2017,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,154.24
2017,ER_H2O_WUEYST,Cyprus,TOTAL,64.74
2018,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,159.4
2018,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,0.73
2018,ER_H2O_WUEYST,Cyprus,INDUSTRIES,145.73
2018,ER_H2O_WUEYST,Cyprus,TOTAL,70.98
2019,ER_H2O_WUEYST,Cyprus,TOTAL,78.4
2013,ER_H2O_WUEYST,Ireland,ISIC4_GTT,227.21
2014,ER_H2O_WUEYST,Ireland,INDUSTRIES,154.08
2014,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.0
2014,ER_H2O_WUEYST,Ireland,ISIC4_GTT,238.25
2014,ER_H2O_WUEYST,Ireland,TOTAL,197.87
2015,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.0
2015,ER_H2O_WUEYST,Ireland,INDUSTRIES,278.83
2015,ER_H2O_WUEYST,Ireland,ISIC4_GTT,255.9
2015,ER_H2O_WUEYST,Ireland,TOTAL,251.6
2016,ER_H2O_WUEYST,Ireland,TOTAL,247.31
2016,ER_H2O_WUEYST,Ireland,ISIC4_GTT,265.04
2019,ER_H2O_WUEYST,Cyprus,INDUSTRIES,162.02
2019,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,0.85
2019,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,172.1
2020,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,173.41
2020,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,0.8
2020,ER_H2O_WUEYST,Cyprus,INDUSTRIES,153.5
2020,ER_H2O_WUEYST,Cyprus,TOTAL,74.94
2000,ER_H2O_WUEYST,Czechia,INDUSTRIES,26.79
2000,ER_H2O_WUEYST,Czechia,ISIC4_GTT,82.45
2001,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,6.65
2001,ER_H2O_WUEYST,Azerbaijan,TOTAL,1.18
2001,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,1.6
2001,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.25
2002,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,5.97
2002,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,2.28
2002,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.25
2002,ER_H2O_WUEYST,Azerbaijan,TOTAL,1.29
2003,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,6.51
2003,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.23
2003,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,2.35
2016,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.0
2016,ER_H2O_WUEYST,Ireland,INDUSTRIES,248.02
2017,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.0
2017,ER_H2O_WUEYST,Ireland,TOTAL,224.19
2017,ER_H2O_WUEYST,Ireland,ISIC4_GTT,226.13
2017,ER_H2O_WUEYST,Ireland,INDUSTRIES,240.13
2018,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.0
2018,ER_H2O_WUEYST,Ireland,ISIC4_GTT,206.39
2018,ER_H2O_WUEYST,Ireland,TOTAL,215.11
2018,ER_H2O_WUEYST,Ireland,INDUSTRIES,246.32
2019,ER_H2O_WUEYST,Ireland,INDUSTRIES,248.2
2003,ER_H2O_WUEYST,Azerbaijan,TOTAL,1.34
2004,ER_H2O_WUEYST,Azerbaijan,TOTAL,1.4
2004,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,2.78
2004,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.2
2004,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,7.21
2005,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.2
2005,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,7.12
2005,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,4.05
2005,ER_H2O_WUEYST,Azerbaijan,TOTAL,1.7
2006,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,5.72
2006,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.2
2006,ER_H2O_WUEYST,Azerbaijan,TOTAL,2.29
2006,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,8.75
2007,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.22
2007,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,14.24
2007,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,8.01
2007,ER_H2O_WUEYST,Azerbaijan,TOTAL,2.87
2008,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,9.06
2008,ER_H2O_WUEYST,Azerbaijan,TOTAL,3.34
2008,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.22
2008,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,17.91
2009,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,23.14
2009,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.26
2009,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,10.6
2009,ER_H2O_WUEYST,Azerbaijan,TOTAL,3.7
2010,ER_H2O_WUEYST,Azerbaijan,TOTAL,3.84
2010,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,11.18
2010,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.24
2010,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,20.41
2011,ER_H2O_WUEYST,Azerbaijan,ISIC4_A01_A0210_A0322,0.21
2011,ER_H2O_WUEYST,Azerbaijan,ISIC4_GTT,21.14
2011,ER_H2O_WUEYST,Azerbaijan,INDUSTRIES,11.27
2011,ER_H2O_WUEYST,Azerbaijan,TOTAL,3.74
2001,ER_H2O_WUEYST,Czechia,INDUSTRIES,28.3
