Year,SeriesCode,Country,Cities,Custom Breakdown,Value
2020,EN_URB_OPENSP,Türkiye,TR_KAYSERI,,66.7
2020,EN_URB_OPENSP,Türkiye,TR_ISTANBUL,,59.8
2020,EN_URB_OPENSP,Türkiye,TR_SIVAS,,72.0
2020,EN_URB_OPENSP,Türkiye,TR_ADAPAZARI,,41.8
2020,EN_URB_OPENSP,Türkiye,TR_GAZIANTEP,,83.1
2020,EN_URB_OPENSP,Turkmenistan,TM_BALKANABAT,,70.6
2020,EN_URB_OPENSP,Turkmenistan,TM_DASOGUZ,,20.9
2020,EN_URB_OPENSP,Turkmenistan,TM_BAYRAMALY,,33.5
2020,EN_URB_OPENSP,Turkmenistan,TM_MARY,,27.8
2020,EN_URB_OPENSP,Turkmenistan,TM_SERDAR,,36.9
2020,EN_URB_OPENSP,Turkmenistan,TM_TEJEN,,52.2
2020,EN_URB_OPENSP,Turkmenistan,TM_TURKMENABAT,,38.4
2020,EN_URB_OPENSP,Turkmenistan,TM_TURKMENBASY,,49.7
2020,EN_URB_OPENSP,Turkmenistan,TM_ASHGABAT,,48.8
2020,EN_URB_OPENSP,Ukraine,UA_LVIV,,77.9
2020,EN_URB_OPENSP,Uzbekistan,UZ_QARSHI,,28.8
2020,EN_URB_OPENSP,Uzbekistan,UZ_URGANCH,,24.9
2020,EN_URB_OPENSP,Ukraine,UA_MYKOLAIV,,48.0
2020,EN_URB_OPENSP,Ukraine,UA_RIVNE,,55.5
2020,EN_URB_OPENSP,Belgium,BE_ANTWERPEN,,64.4
2020,EN_URB_OPENSP,Kyrgyzstan,KG_BALYKCY,,74.7
2020,EN_URB_OPENSP,Kyrgyzstan,KG_BALYKCY,,74.7
