Year,SeriesCode,Country,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,SG_DMK_JDC,Norway,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.98
2021,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_B,Both sexes,JUDGES,0.53
2021,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_B,Both sexes,REGISTRARS,0.61
2018,SG_DMK_JDC,Poland,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.7
2018,SG_DMK_JDC,Poland,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.05
2018,SG_DMK_JDC,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.68
2018,SG_DMK_JDC,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.24
2020,SG_DMK_JDC,Poland,ALLAGE,Persons with disability,TOTAL,Both sexes,JUDGES,0.1
2020,SG_DMK_JDC,Poland,ALLAGE,Persons with disability,TOTAL,Both sexes,REGISTRARS,0.41
2020,SG_DMK_JDC,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.68
2020,SG_DMK_JDC,Poland,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.47
2020,SG_DMK_JDC,Poland,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.78
2020,SG_DMK_JDC,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.23
2020,SG_DMK_JDC,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.96
2020,SG_DMK_JDC,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.37
2020,SG_DMK_JDC,Slovakia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.91
2020,SG_DMK_JDC,Slovakia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.67
2021,SG_DMK_JDC,Slovakia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.63
2021,SG_DMK_JDC,Slovakia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.9
2021,SG_DMK_JDC,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.96
2021,SG_DMK_JDC,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.37
2020,SG_DMK_JDC,Spain,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.34
2020,SG_DMK_JDC,Spain,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.14
2022,SG_DMK_JDC,Spain,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.13
2022,SG_DMK_JDC,Spain,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.38
2019,SG_DMK_JDC,Sweden,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.1
2019,SG_DMK_JDC,Sweden,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,1.15
2019,SG_DMK_JDC,Sweden,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.8
2019,SG_DMK_JDC,Sweden,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.39
2020,SG_DMK_JDC,Sweden,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.38
2020,SG_DMK_JDC,Sweden,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.11
2020,SG_DMK_JDC,Sweden,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,1.14
2020,SG_DMK_JDC,Sweden,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.78
2019,SG_DMK_JDC,Switzerland,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.56
2019,SG_DMK_JDC,Switzerland,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.03
2019,SG_DMK_JDC,Switzerland,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.24
2019,SG_DMK_JDC,Switzerland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.85
2020,SG_DMK_JDC,Switzerland,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.25
2020,SG_DMK_JDC,Switzerland,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.22
2020,SG_DMK_JDC,Switzerland,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.44
2020,SG_DMK_JDC,Switzerland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.99
2021,SG_DMK_JDC,United Kingdom of Great Britain and Northern Ireland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.68
2022,SG_DMK_JDC,United Kingdom of Great Britain and Northern Ireland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.71
2022,SG_DMK_JDC,United Kingdom of Great Britain and Northern Ireland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.71
