Year,SeriesCode,Страна ,Age,Disability status,Population Group,Sex,Type of occupation,Value
2020,SG_DMK_JDC,Japan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.46
2021,SG_DMK_JDC,Japan,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.74
2021,SG_DMK_JDC,Japan,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.81
2021,SG_DMK_JDC,Japan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,0.74
2021,SG_DMK_JDC,Japan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.47
2021,SG_DMK_JDC,Казахстан,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.42
2021,SG_DMK_JDC,Казахстан,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.01
2021,SG_DMK_JDC,Казахстан,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.21
2021,SG_DMK_JDC,Казахстан,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.1
2021,SG_DMK_JDC,Казахстан,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.33
2021,SG_DMK_JDC,Казахстан,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.67
2022,SG_DMK_JDC,Казахстан,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.74
2022,SG_DMK_JDC,Казахстан,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.45
2022,SG_DMK_JDC,Казахстан,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.06
2022,SG_DMK_JDC,Казахстан,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.4
2020,SG_DMK_JDC,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.34
2020,SG_DMK_JDC,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.44
2020,SG_DMK_JDC,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.9
2020,SG_DMK_JDC,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.63
2021,SG_DMK_JDC,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.4
2021,SG_DMK_JDC,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.44
2021,SG_DMK_JDC,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.92
2021,SG_DMK_JDC,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.61
