Year,Черта бедности,Страна ,Value
2001,"2,15$ в день (ППС 2017) доллар-в-день",Bosnia and Herzegovina,0.3
2001,"3,65$ в день (ППС 2017) LMIC",Bosnia and Herzegovina,1.1
2001,"6,85$ в день (ППС 2017) UMIC",Bosnia and Herzegovina,13.8
2004,"2,15$ в день (ППС 2017) доллар-в-день",Bosnia and Herzegovina,0.2
2004,"3,65$ в день (ППС 2017) LMIC",Bosnia and Herzegovina,0.7
2004,"6,85$ в день (ППС 2017) UMIC",Bosnia and Herzegovina,6.6
2007,"2,15$ в день (ППС 2017) доллар-в-день",Bosnia and Herzegovina,0.1
2007,"3,65$ в день (ППС 2017) LMIC",Bosnia and Herzegovina,0.4
2007,"6,85$ в день (ППС 2017) UMIC",Bosnia and Herzegovina,4.8
2011,"2,15$ в день (ППС 2017) доллар-в-день",Bosnia and Herzegovina,0.1
2011,"3,65$ в день (ППС 2017) LMIC",Bosnia and Herzegovina,0.8
2011,"6,85$ в день (ППС 2017) UMIC",Bosnia and Herzegovina,5.8
1998,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,17.0
1998,"3,65$ в день (ППС 2017) LMIC",Georgia,39.4
1998,"6,85$ в день (ППС 2017) UMIC",Georgia,74.1
1999,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,21.8
1999,"3,65$ в день (ППС 2017) LMIC",Georgia,47.1
1999,"6,85$ в день (ППС 2017) UMIC",Georgia,79.6
2000,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,22.9
2000,"3,65$ в день (ППС 2017) LMIC",Georgia,49.6
2000,"6,85$ в день (ППС 2017) UMIC",Georgia,81.6
2001,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,23.0
2001,"3,65$ в день (ППС 2017) LMIC",Georgia,52.4
2001,"6,85$ в день (ППС 2017) UMIC",Georgia,83.5
2002,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,12.7
2002,"3,65$ в день (ППС 2017) LMIC",Georgia,35.5
2002,"6,85$ в день (ППС 2017) UMIC",Georgia,72.7
2003,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,12.9
2003,"3,65$ в день (ППС 2017) LMIC",Georgia,35.9
2003,"6,85$ в день (ППС 2017) UMIC",Georgia,72.0
2004,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,12.4
2004,"3,65$ в день (ППС 2017) LMIC",Georgia,32.7
2004,"6,85$ в день (ППС 2017) UMIC",Georgia,70.0
2005,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,12.9
2005,"3,65$ в день (ППС 2017) LMIC",Georgia,35.2
2005,"6,85$ в день (ППС 2017) UMIC",Georgia,71.7
2006,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,12.6
2006,"3,65$ в день (ППС 2017) LMIC",Georgia,35.6
2006,"6,85$ в день (ППС 2017) UMIC",Georgia,72.7
2007,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,14.2
2007,"3,65$ в день (ППС 2017) LMIC",Georgia,37.8
2007,"6,85$ в день (ППС 2017) UMIC",Georgia,74.1
2008,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,12.4
2008,"3,65$ в день (ППС 2017) LMIC",Georgia,34.1
2008,"6,85$ в день (ППС 2017) UMIC",Georgia,70.2
2009,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,12.1
2009,"3,65$ в день (ППС 2017) LMIC",Georgia,34.3
2009,"6,85$ в день (ППС 2017) UMIC",Georgia,70.5
2010,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,14.4
2010,"3,65$ в день (ППС 2017) LMIC",Georgia,35.7
2010,"6,85$ в день (ППС 2017) UMIC",Georgia,70.6
2011,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,13.4
2011,"3,65$ в день (ППС 2017) LMIC",Georgia,33.3
2011,"6,85$ в день (ППС 2017) UMIC",Georgia,69.0
2012,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,10.7
2012,"3,65$ в день (ППС 2017) LMIC",Georgia,29.6
2012,"6,85$ в день (ППС 2017) UMIC",Georgia,65.5
2013,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,8.1
2013,"3,65$ в день (ППС 2017) LMIC",Georgia,25.3
2013,"6,85$ в день (ППС 2017) UMIC",Georgia,60.0
2014,"2,15$ в день (ППС 2017) доллар-в-день",Georgia,6.1
2014,"3,65$ в день (ППС 2017) LMIC",Georgia,22.0
2014,"6,85$ в день (ППС 2017) UMIC",Georgia,57.0
