Year,SeriesCode,Country,Hazard type,Value
2005,VC_DSR_MMHN,Japan,,148
2006,VC_DSR_MMHN,Japan,,177
2007,VC_DSR_MMHN,Japan,,39
2008,VC_DSR_MMHN,Japan,,101
2009,VC_DSR_MMHN,Japan,,115
2010,VC_DSR_MMHN,Japan,,89
2011,VC_DSR_MMHN,Japan,,22466
2012,VC_DSR_MMHN,Japan,,190
2013,VC_DSR_MMHN,Japan,,173
2014,VC_DSR_MMHN,Japan,,283
2015,VC_DSR_MMHN,Japan,,65
2016,VC_DSR_MMHN,Japan,,297
2017,VC_DSR_MMHN,Japan,,129
2018,VC_DSR_MMHN,Japan,,452
2019,VC_DSR_MMHN,Japan,,159
2005,VC_DSR_MMHN,Kazakhstan,,6
2006,VC_DSR_MMHN,Kazakhstan,,22
2007,VC_DSR_MMHN,Kazakhstan,,17
2008,VC_DSR_MMHN,Kazakhstan,,11
2009,VC_DSR_MMHN,Kazakhstan,,9
2010,VC_DSR_MMHN,Kazakhstan,,9
2011,VC_DSR_MMHN,Kazakhstan,,14
2012,VC_DSR_MMHN,Kazakhstan,,9
2013,VC_DSR_MMHN,Kazakhstan,,6
2014,VC_DSR_MMHN,Kazakhstan,,2
2015,VC_DSR_MMHN,Kazakhstan,,4
2016,VC_DSR_MMHN,Kazakhstan,,8
2017,VC_DSR_MMHN,Kazakhstan,,29
2018,VC_DSR_MMHN,Kazakhstan,,1
2019,VC_DSR_MMHN,Kazakhstan,,3
2020,VC_DSR_MMHN,Kazakhstan,,2793
2021,VC_DSR_MMHN,Kazakhstan,,15757
2005,VC_DSR_MMHN,Republic of Korea,,52
2006,VC_DSR_MMHN,Republic of Korea,,68
2007,VC_DSR_MMHN,Republic of Korea,,23
2008,VC_DSR_MMHN,Republic of Korea,,65
2009,VC_DSR_MMHN,Republic of Korea,,237
2010,VC_DSR_MMHN,Republic of Korea,,36
2011,VC_DSR_MMHN,Republic of Korea,,81
2012,VC_DSR_MMHN,Republic of Korea,,21
2013,VC_DSR_MMHN,Republic of Korea,,16
2014,VC_DSR_MMHN,Republic of Korea,,413
2015,VC_DSR_MMHN,Republic of Korea,,67
2016,VC_DSR_MMHN,Republic of Korea,,26
2017,VC_DSR_MMHN,Republic of Korea,,72
2018,VC_DSR_MMHN,Republic of Korea,,146
2019,VC_DSR_MMHN,Republic of Korea,,111
2020,VC_DSR_MMHN,Republic of Korea,,1083
2005,VC_DSR_MMHN,Kyrgyzstan,,72
2006,VC_DSR_MMHN,Kyrgyzstan,,84
2007,VC_DSR_MMHN,Kyrgyzstan,,93
2008,VC_DSR_MMHN,Kyrgyzstan,,282
2009,VC_DSR_MMHN,Kyrgyzstan,,71
2010,VC_DSR_MMHN,Kyrgyzstan,,158
2011,VC_DSR_MMHN,Kyrgyzstan,,142
2012,VC_DSR_MMHN,Republic of Korea,,21
2013,VC_DSR_MMHN,Republic of Korea,,16
2014,VC_DSR_MMHN,Republic of Korea,,413
2015,VC_DSR_MMHN,Republic of Korea,,67
2016,VC_DSR_MMHN,Republic of Korea,,26
2017,VC_DSR_MMHN,Republic of Korea,,72
2018,VC_DSR_MMHN,Republic of Korea,,146
2019,VC_DSR_MMHN,Republic of Korea,,111
2020,VC_DSR_MMHN,Republic of Korea,,1083
2005,VC_DSR_MMHN,Kyrgyzstan,,72
2006,VC_DSR_MMHN,Kyrgyzstan,,84
2007,VC_DSR_MMHN,Kyrgyzstan,,93
2008,VC_DSR_MMHN,Kyrgyzstan,,282
2009,VC_DSR_MMHN,Kyrgyzstan,,71
2010,VC_DSR_MMHN,Kyrgyzstan,,158
2011,VC_DSR_MMHN,Kyrgyzstan,,142
2012,VC_DSR_MMHN,Kyrgyzstan,,99
2013,VC_DSR_MMHN,Kyrgyzstan,,95
2014,VC_DSR_MMHN,Kyrgyzstan,,67
2015,VC_DSR_MMHN,Kyrgyzstan,,53
2016,VC_DSR_MMHN,Kyrgyzstan,,47
2017,VC_DSR_MMHN,Kyrgyzstan,,141
2018,VC_DSR_MMHN,Kyrgyzstan,,18
2019,VC_DSR_MMHN,Kyrgyzstan,,19
2020,VC_DSR_MMHN,Kyrgyzstan,,3957
2021,VC_DSR_MMHN,Kyrgyzstan,,109
2020,VC_DSR_MMHN,Lithuania,,2266
