Year,SeriesCode,GeoAreaName,Education level,Sex,Type of skill,Value
2015,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_READ,88.90852
2015,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_MATH,84.26792
2015,SE_TOT_PRFL,Finland,PRIMAR,FEMALE,SKILL_MATH,85.18339
2015,SE_TOT_PRFL,Finland,PRIMAR,BOTHSEX,SKILL_MATH,82.19813
2015,SE_TOT_PRFL,Finland,PRIMAR,MALE,SKILL_MATH,79.42611
2016,SE_TOT_PRFL,Finland,PRIMAR,MALE,SKILL_READ,97.65054
2016,SE_TOT_PRFL,Finland,PRIMAR,FEMALE,SKILL_READ,98.92597
2016,SE_TOT_PRFL,Finland,PRIMAR,BOTHSEX,SKILL_READ,98.28993
2018,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_MATH,85.02447
2018,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_MATH,86.94626
2018,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_READ,92.74826
2018,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_READ,80.39666
2018,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_MATH,83.17413
2018,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_READ,86.45547
2019,SE_TOT_PRFL,Finland,PRIMAR,FEMALE,SKILL_MATH,77.87226
2019,SE_TOT_PRFL,Finland,PRIMAR,BOTHSEX,SKILL_MATH,78.04993
2019,SE_TOT_PRFL,Finland,PRIMAR,MALE,SKILL_MATH,78.29525
2000,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_READ,89.5
2000,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_READ,80.08
2000,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_MATH,85.17
2000,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_MATH,85.61391
2000,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_MATH,86.38
2000,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_READ,84.8
2001,SE_TOT_PRFL,France,PRIMAR,MALE,SKILL_READ,94.36311
2001,SE_TOT_PRFL,France,PRIMAR,BOTHSEX,SKILL_READ,95.36404
2001,SE_TOT_PRFL,France,PRIMAR,FEMALE,SKILL_READ,96.82995
2003,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_MATH,83.36898
2003,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_MATH,83.51
2003,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_READ,87.89
2003,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_READ,76.49
2003,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_READ,82.48507
2003,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_MATH,83.22
2006,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_MATH,77.62
2006,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_MATH,77.74448
2006,SE_TOT_PRFL,France,PRIMAR,FEMALE,SKILL_READ,96.9529
2006,SE_TOT_PRFL,France,PRIMAR,BOTHSEX,SKILL_READ,95.90742
2006,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_MATH,77.87
2006,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_READ,78.27248
2006,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_READ,72.73
2006,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_READ,83.5
2006,SE_TOT_PRFL,France,PRIMAR,MALE,SKILL_READ,94.97278
2009,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_READ,85.86
2009,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_READ,74.34
2009,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_READ,80.24786
2009,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_MATH,78.38
2009,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_MATH,77.47569
2009,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_MATH,76.62
2011,SE_TOT_PRFL,France,PRIMAR,BOTHSEX,SKILL_READ,95.26912
2011,SE_TOT_PRFL,France,PRIMAR,FEMALE,SKILL_READ,95.19038
2011,SE_TOT_PRFL,France,PRIMAR,MALE,SKILL_READ,95.40194
2012,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_READ,87.29
2012,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_READ,74.52
2012,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_MATH,77.64
2012,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_MATH,77.64565
2012,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_MATH,77.65
2012,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_READ,81.08346
2015,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_MATH,76.16187
2015,SE_TOT_PRFL,France,PRIMAR,FEMALE,SKILL_MATH,57.04231
2015,SE_TOT_PRFL,France,PRIMAR,MALE,SKILL_MATH,59.02802
2015,SE_TOT_PRFL,France,PRIMAR,BOTHSEX,SKILL_MATH,58.06875
2015,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_READ,78.51392
2015,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_MATH,76.52206
2015,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_MATH,76.87688
2015,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_READ,73.87894
2015,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_READ,83.07977
2016,SE_TOT_PRFL,France,PRIMAR,FEMALE,SKILL_READ,94.67617
2016,SE_TOT_PRFL,France,PRIMAR,BOTHSEX,SKILL_READ,93.71542
2016,SE_TOT_PRFL,France,PRIMAR,MALE,SKILL_READ,92.79398
2018,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_READ,83.68581
2018,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_READ,74.56261
2018,SE_TOT_PRFL,France,LOWSEC,FEMALE,SKILL_MATH,78.6961
2018,SE_TOT_PRFL,France,LOWSEC,BOTHSEX,SKILL_MATH,78.74437
2018,SE_TOT_PRFL,France,LOWSEC,MALE,SKILL_MATH,78.79135
