Year,SeriesCode,Страна ,Type of waste treatment,Value
2001,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2002,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2003,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2004,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2005,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2006,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2007,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2008,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2009,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2010,EN_HAZ_TREATV,Bosnia and Herzegovina,INCINRT,0.0
2018,EN_HAZ_TREATV,Portugal,INCINRT_EGY,39062.0
2018,EN_HAZ_TREATV,Portugal,LANDFIL,307181.0
2018,EN_HAZ_TREATV,Portugal,OTHERWM,0.0
2018,EN_HAZ_TREATV,Portugal,RECYCL,264389.0
2018,EN_HAZ_TREATV,Portugal,INCINRT,23582.0
2020,EN_HAZ_TREATV,Portugal,OTHERWM,0.0
2020,EN_HAZ_TREATV,Portugal,INCINRT,26926.0
2020,EN_HAZ_TREATV,Portugal,INCINRT_EGY,33269.0
2020,EN_HAZ_TREATV,Portugal,LANDFIL,243558.0
2020,EN_HAZ_TREATV,Portugal,RECYCL,223066.0
2004,EN_HAZ_TREATV,Romania,OTHERWM,24400.0
2004,EN_HAZ_TREATV,Romania,LANDFIL,1513700.0
2004,EN_HAZ_TREATV,Romania,INCINRT_EGY,56300.0
2004,EN_HAZ_TREATV,Romania,INCINRT,400.0
2006,EN_HAZ_TREATV,Romania,INCINRT,1070.0
2006,EN_HAZ_TREATV,Romania,LANDFIL,641467.0
2006,EN_HAZ_TREATV,Romania,OTHERWM,0.0
2006,EN_HAZ_TREATV,Romania,INCINRT_EGY,94033.0
2008,EN_HAZ_TREATV,Romania,LANDFIL,21075.0
2008,EN_HAZ_TREATV,Romania,INCINRT,31505.0
2008,EN_HAZ_TREATV,Romania,INCINRT_EGY,35060.0
2008,EN_HAZ_TREATV,Romania,OTHERWM,0.0
2010,EN_HAZ_TREATV,Romania,LANDFIL,61307.0
2010,EN_HAZ_TREATV,Romania,RECYCL,45643.0
2010,EN_HAZ_TREATV,Romania,INCINRT,15662.0
2010,EN_HAZ_TREATV,Romania,OTHERWM,20343.0
2010,EN_HAZ_TREATV,Romania,INCINRT_EGY,113605.0
2012,EN_HAZ_TREATV,Romania,LANDFIL,115202.0
2012,EN_HAZ_TREATV,Romania,RECYCL,48005.0
2012,EN_HAZ_TREATV,Romania,INCINRT_EGY,166106.0
2012,EN_HAZ_TREATV,Romania,INCINRT,136245.0
2012,EN_HAZ_TREATV,Romania,OTHERWM,32769.0
2014,EN_HAZ_TREATV,Romania,OTHERWM,28152.0
2014,EN_HAZ_TREATV,Romania,RECYCL,69613.0
2014,EN_HAZ_TREATV,Romania,INCINRT,32456.0
2014,EN_HAZ_TREATV,Romania,INCINRT_EGY,124293.0
2014,EN_HAZ_TREATV,Romania,LANDFIL,152687.0
2016,EN_HAZ_TREATV,Romania,OTHERWM,17612.0
2016,EN_HAZ_TREATV,Romania,LANDFIL,128337.0
2016,EN_HAZ_TREATV,Romania,INCINRT,26472.0
2016,EN_HAZ_TREATV,Romania,INCINRT_EGY,121059.0
2016,EN_HAZ_TREATV,Romania,RECYCL,51151.0
2018,EN_HAZ_TREATV,Romania,INCINRT,25282.0
2018,EN_HAZ_TREATV,Romania,RECYCL,50254.0
2018,EN_HAZ_TREATV,Romania,OTHERWM,8022.0
2018,EN_HAZ_TREATV,Romania,INCINRT_EGY,114058.0
2018,EN_HAZ_TREATV,Romania,LANDFIL,132604.0
2020,EN_HAZ_TREATV,Romania,RECYCL,39335.0
2020,EN_HAZ_TREATV,Romania,LANDFIL,44840.0
2020,EN_HAZ_TREATV,Romania,INCINRT,19847.0
2020,EN_HAZ_TREATV,Romania,INCINRT_EGY,82430.0
2020,EN_HAZ_TREATV,Romania,OTHERWM,2266.0
2004,EN_HAZ_TREATV,Serbia,INCINRT_EGY,0.0
2006,EN_HAZ_TREATV,Serbia,INCINRT_EGY,0.0
2008,EN_HAZ_TREATV,Serbia,INCINRT,2479.0
2008,EN_HAZ_TREATV,Serbia,LANDFIL,8255117.0
2008,EN_HAZ_TREATV,Serbia,RECYCL,134405.0
2008,EN_HAZ_TREATV,Serbia,OTHERWM,0.0
2008,EN_HAZ_TREATV,Serbia,INCINRT_EGY,122249.0
