Year,SeriesCode,Страна ,Age,Freq,Location,Sex,Type of speed,Value
2009,IT_NET_BBND,Iceland,,,,,10MBPS,12.64304
2009,IT_NET_BBND,Iceland,,,,,2MT10MBPS,12.6421
2009,IT_NET_BBND,Iceland,,,,,256KT2MBPS,5.41186
2010,IT_NET_BBND,Iceland,,,,,ANYS,34.30747
2018,IT_NET_BBND,Azerbaijan,,,,,10MBPS,2.05578
2018,IT_NET_BBND,Azerbaijan,,,,,ANYS,18.62506
2018,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,8.37772
2018,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,8.19155
2019,IT_NET_BBND,Azerbaijan,,,,,ANYS,18.98817
2019,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,9.57004
2019,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,6.85473
2019,IT_NET_BBND,Azerbaijan,,,,,10MBPS,2.56341
2020,IT_NET_BBND,Azerbaijan,,,,,ANYS,19.40188
2010,IT_NET_BBND,Iceland,,,,,10MBPS,18.4973
2010,IT_NET_BBND,Iceland,,,,,2MT10MBPS,9.09739
2010,IT_NET_BBND,Iceland,,,,,256KT2MBPS,2.38901
2011,IT_NET_BBND,Iceland,,,,,10MBPS,24.27018
2011,IT_NET_BBND,Iceland,,,,,2MT10MBPS,4.7768
2011,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.0
2011,IT_NET_BBND,Iceland,,,,,ANYS,34.94721
2012,IT_NET_BBND,Iceland,,,,,ANYS,35.33565
2012,IT_NET_BBND,Iceland,,,,,10MBPS,24.76922
2021,IT_NET_BBND,Chile,,,,,256KT2MBPS,0.06626
2000,IT_NET_BBND,China,,,,,ANYS,0.00179
2001,IT_NET_BBND,China,,,,,ANYS,0.02642
2002,IT_NET_BBND,China,,,,,ANYS,0.25751
2003,IT_NET_BBND,China,,,,,ANYS,0.87045
2004,IT_NET_BBND,China,,,,,ANYS,1.92314
2005,IT_NET_BBND,China,,,,,ANYS,2.86232
2006,IT_NET_BBND,China,,,,,ANYS,3.87278
2007,IT_NET_BBND,China,,,,,ANYS,5.0256
2020,IT_NET_BBND,Azerbaijan,,,,,10MBPS,2.91028
2020,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,6.59664
2020,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,9.89496
2021,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,10.99664
2021,IT_NET_BBND,Azerbaijan,,,,,10MBPS,4.08671
2021,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,4.84922
2021,IT_NET_BBND,Azerbaijan,,,,,ANYS,19.93258
2001,IT_NET_BBND,Australia,,,,,ANYS,0.63798
2002,IT_NET_BBND,Australia,,,,,ANYS,1.32523
2008,IT_NET_BBND,China,,,,,ANYS,6.23072
2009,IT_NET_BBND,China,,,,,ANYS,7.76462
2010,IT_NET_BBND,China,,,,,ANYS,9.37085
2011,IT_NET_BBND,China,,,,,ANYS,11.53102
2011,IT_NET_BBND,China,,,,,2MT10MBPS,8.6736
2011,IT_NET_BBND,China,,,,,256KT2MBPS,1.23013
2011,IT_NET_BBND,China,,,,,10MBPS,1.05387
2012,IT_NET_BBND,China,,,,,ANYS,12.81926
2012,IT_NET_BBND,China,,,,,256KT2MBPS,0.7295
2003,IT_NET_BBND,Australia,,,,,ANYS,2.62348
2004,IT_NET_BBND,Australia,,,,,ANYS,5.07903
2005,IT_NET_BBND,Australia,,,,,ANYS,9.99418
2006,IT_NET_BBND,Australia,,,,,ANYS,19.05504
2008,IT_NET_BBND,Australia,,,,,ANYS,25.01427
2009,IT_NET_BBND,Australia,,,,,ANYS,24.10335
2009,IT_NET_BBND,Australia,,,,,2MT10MBPS,14.71777
2009,IT_NET_BBND,Australia,,,,,256KT2MBPS,10.99216
2009,IT_NET_BBND,Australia,,,,,10MBPS,11.43074
2009,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,37.06412
2010,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,38.08723
2010,IT_NET_BBND,Netherlands (Kingdom of the),,,,,10MBPS,20.41269
2010,IT_NET_BBND,Netherlands (Kingdom of the),,,,,2MT10MBPS,12.63757
2010,IT_NET_BBND,Netherlands (Kingdom of the),,,,,256KT2MBPS,3.10523
2011,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,38.90679
2011,IT_NET_BBND,Netherlands (Kingdom of the),,,,,10MBPS,21.98755
2011,IT_NET_BBND,Netherlands (Kingdom of the),,,,,2MT10MBPS,13.13142
2011,IT_NET_BBND,Netherlands (Kingdom of the),,,,,256KT2MBPS,1.20142
2012,IT_NET_BBND,China,,,,,10MBPS,2.0504
2012,IT_NET_BBND,China,,,,,2MT10MBPS,10.03936
2013,IT_NET_BBND,China,,,,,ANYS,13.72785
2014,IT_NET_BBND,China,,,,,256KT2MBPS,0.40146
2014,IT_NET_BBND,China,,,,,10MBPS,5.9246
2014,IT_NET_BBND,China,,,,,ANYS,14.47332
2014,IT_NET_BBND,China,,,,,2MT10MBPS,8.14726
2015,IT_NET_BBND,China,,,,,ANYS,19.87823
2015,IT_NET_BBND,China,,,,,10MBPS,11.67961
2015,IT_NET_BBND,China,,,,,2MT10MBPS,8.04598
2015,IT_NET_BBND,China,,,,,256KT2MBPS,0.1514
2016,IT_NET_BBND,China,,,,,256KT2MBPS,0.10942
2016,IT_NET_BBND,China,,,,,2MT10MBPS,1.79136
2016,IT_NET_BBND,China,,,,,10MBPS,21.1108
2016,IT_NET_BBND,China,,,,,ANYS,23.01158
2017,IT_NET_BBND,China,,,,,2MT10MBPS,0.90606
2017,IT_NET_BBND,China,,,,,ANYS,27.95127
2017,IT_NET_BBND,China,,,,,256KT2MBPS,0.04064
2010,IT_NET_BBND,Australia,,,,,256KT2MBPS,5.63146
