Year,SeriesCode,Страна ,Education level,Location,Quantile,Value
2005,SE_AGP_CPRA,Costa Rica,UPPSEC,URBAN,_T,1.0785
2005,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.1392
2005,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.0358
2006,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.04941
2006,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0
2006,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0
2007,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.00132
2007,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.00266
2007,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.06432
2008,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.0268
2008,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.00757
2008,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.00377
2009,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.00418
2009,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.00843
2009,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.01126
2010,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.0299
2010,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0065
2010,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.00323
2011,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.04729
2011,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.00322
2011,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.00649
2012,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.04359
2012,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.00817
2017,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q5,1.02384
2017,SE_AGP_CPRA,Albania,UPPSEC,RURAL,_T,0.94512
2017,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q2,0.99194
2017,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q2,1.06673
2017,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q1,1.05358
2017,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q1,1.0044
2017,SE_AGP_CPRA,Albania,UPPSEC,RURAL,Q2,0.99317
2017,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q5,1.02789
2005,SE_AGP_CPRA,Costa Rica,PRIMAR,URBAN,_T,1.0347
2005,SE_AGP_CPRA,Costa Rica,UPPSEC,RURAL,_T,1.2366
2005,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.1583
2005,SE_AGP_CPRA,Costa Rica,LOWSEC,URBAN,_T,1.1551
2005,SE_AGP_CPRA,Costa Rica,LOWSEC,RURAL,_T,1.1392
2005,SE_AGP_CPRA,Costa Rica,PRIMAR,RURAL,_T,1.0418
2006,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.1473
2006,SE_AGP_CPRA,Costa Rica,PRIMAR,RURAL,_T,1.06
2006,SE_AGP_CPRA,Costa Rica,LOWSEC,RURAL,_T,1.203
2012,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.00407
2013,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,0.99859
2013,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,0.99715
2013,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.02029
2014,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.02365
2014,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,0.98787
2014,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,0.99397
2015,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,0.99814
2015,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,0.99624
2015,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.02291
2017,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q4,1.01701
2017,SE_AGP_CPRA,Albania,PRIMAR,URBAN,Q3,0.96798
2017,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q2,0.96986
2017,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q3,1.08289
2017,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q2,1.00238
2017,SE_AGP_CPRA,Albania,LOWSEC,RURAL,Q3,1.00161
2017,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q3,0.98818
2017,SE_AGP_CPRA,Albania,LOWSEC,RURAL,Q5,0.0
2006,SE_AGP_CPRA,Costa Rica,LOWSEC,URBAN,_T,1.1054
2006,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.1446
2006,SE_AGP_CPRA,Costa Rica,UPPSEC,RURAL,_T,1.1572
2006,SE_AGP_CPRA,Costa Rica,PRIMAR,URBAN,_T,1.0317
2006,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.0445
2006,SE_AGP_CPRA,Costa Rica,UPPSEC,URBAN,_T,1.1188
2007,SE_AGP_CPRA,Costa Rica,PRIMAR,URBAN,_T,1.0466
2007,SE_AGP_CPRA,Costa Rica,UPPSEC,RURAL,_T,1.1149
2007,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.1231
2017,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.01604
2017,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q4,1.05574
2017,SE_AGP_CPRA,Albania,PRIMAR,URBAN,_T,0.99623
2017,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q4,1.16137
2017,SE_AGP_CPRA,Albania,UPPSEC,URBAN,_T,1.07452
2017,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q5,1.01113
2017,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q5,0.0
2017,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q1,1.14297
2016,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,0.98776
2016,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,0.99392
2016,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.0406
2017,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0098
2017,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.01971
2017,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.06583
2018,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,1.06985
2018,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.00246
2018,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.00121
