Year,SeriesCode,Country,Counterpart,Value
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PH,5.8552
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,AL,10.02317
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ER,13.11366
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,UG,7.36131
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZM,11.37147
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PK,3.89728
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PH,5.22973
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LT,6.83036
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BR,7.04601
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,VN,7.74698
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZW,8.23606
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,NG,5.89516
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BG,7.7109
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PL,4.76371
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,KE,5.95321
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,JM,8.56747
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SS,9.43569
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZM,9.97353
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,AF,10.44064
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,RW,9.93324
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BD,5.20275
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,UG,7.50622
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ER,12.21924
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,TH,8.78418
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,GM,12.67105
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZA,8.1655
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SL,10.35175
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LB,12.83274
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,TZ,9.7573
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,RO,6.16375
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,CN,7.63058
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ET,8.62765
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,NP,6.84286
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LK,5.03203
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,GH,5.71583
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PK,4.38934
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,IN,4.01127
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,AL,8.62522
2018,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SO,7.01965
