Year,SeriesCode,Country,Sex,Value
2010,IC_GEN_MGTN_19ICLS,Ireland,Female,40.71
2011,IC_GEN_MGTN_19ICLS,Ireland,Female,30.42
2012,IC_GEN_MGTN_19ICLS,Ireland,Female,30.6
2013,IC_GEN_MGTN_19ICLS,Ireland,Female,30.49
2014,IC_GEN_MGTN_19ICLS,Ireland,Female,31.64
2015,IC_GEN_MGTN_19ICLS,Ireland,Female,30.93
2016,IC_GEN_MGTN_19ICLS,Ireland,Female,32.37
2017,IC_GEN_MGTN_19ICLS,Ireland,Female,31.89
2018,IC_GEN_MGTN_19ICLS,Ireland,Female,33.51
2019,IC_GEN_MGTN_19ICLS,Ireland,Female,31.26
2020,IC_GEN_MGTN_19ICLS,Ireland,Female,32.25
2012,IC_GEN_MGTN_19ICLS,Israel,Female,31.7
2013,IC_GEN_MGTN_19ICLS,Israel,Female,32.5
2014,IC_GEN_MGTN_19ICLS,Israel,Female,32.41
2015,IC_GEN_MGTN_19ICLS,Israel,Female,31.93
2016,IC_GEN_MGTN_19ICLS,Israel,Female,34.33
2017,IC_GEN_MGTN_19ICLS,Israel,Female,34.84
2018,IC_GEN_MGTN_19ICLS,Israel,Female,33.45
2019,IC_GEN_MGTN_19ICLS,Israel,Female,30.83
2020,IC_GEN_MGTN_19ICLS,Israel,Female,28.78
2021,IC_GEN_MGTN_19ICLS,Israel,Female,30.06
2000,IC_GEN_MGTN_19ICLS,Italy,Female,14.32
2001,IC_GEN_MGTN_19ICLS,Italy,Female,18.75
2002,IC_GEN_MGTN_19ICLS,Italy,Female,20.18
2003,IC_GEN_MGTN_19ICLS,Italy,Female,20.84
2004,IC_GEN_MGTN_19ICLS,Italy,Female,18.77
2005,IC_GEN_MGTN_19ICLS,Italy,Female,19.67
2006,IC_GEN_MGTN_19ICLS,Italy,Female,21.77
2007,IC_GEN_MGTN_19ICLS,Italy,Female,22.03
2008,IC_GEN_MGTN_19ICLS,Italy,Female,21.62
2009,IC_GEN_MGTN_19ICLS,Italy,Female,21.57
2010,IC_GEN_MGTN_19ICLS,Italy,Female,21.16
2011,IC_GEN_MGTN_19ICLS,Italy,Female,21.59
2012,IC_GEN_MGTN_19ICLS,Italy,Female,22.21
2013,IC_GEN_MGTN_19ICLS,Italy,Female,22.02
2014,IC_GEN_MGTN_19ICLS,Italy,Female,21.9
2015,IC_GEN_MGTN_19ICLS,Italy,Female,21.75
2016,IC_GEN_MGTN_19ICLS,Italy,Female,22.04
2017,IC_GEN_MGTN_19ICLS,Italy,Female,22.34
2018,IC_GEN_MGTN_19ICLS,Italy,Female,23.15
2019,IC_GEN_MGTN_19ICLS,Italy,Female,23.27
2020,IC_GEN_MGTN_19ICLS,Italy,Female,22.99
2021,IC_GEN_MGTN_19ICLS,Italy,Female,24.4
2000,IC_GEN_MGTN_19ICLS,Japan,Female,9.41
2001,IC_GEN_MGTN_19ICLS,Japan,Female,9.16
2002,IC_GEN_MGTN_19ICLS,Japan,Female,9.71
2003,IC_GEN_MGTN_19ICLS,Japan,Female,9.49
2004,IC_GEN_MGTN_19ICLS,Japan,Female,9.54
2005,IC_GEN_MGTN_19ICLS,Japan,Female,9.93
2006,IC_GEN_MGTN_19ICLS,Japan,Female,10.21
2007,IC_GEN_MGTN_19ICLS,Japan,Female,9.51
2008,IC_GEN_MGTN_19ICLS,Japan,Female,9.53
2009,IC_GEN_MGTN_19ICLS,Japan,Female,10.23
2010,IC_GEN_MGTN_19ICLS,Japan,Female,10.41
2011,IC_GEN_MGTN_19ICLS,Japan,Female,11.74
2012,IC_GEN_MGTN_19ICLS,Japan,Female,11.31
2013,IC_GEN_MGTN_19ICLS,Japan,Female,10.85
2014,IC_GEN_MGTN_19ICLS,Japan,Female,11.39
2015,IC_GEN_MGTN_19ICLS,Japan,Female,12.05
2016,IC_GEN_MGTN_19ICLS,Japan,Female,13.33
2017,IC_GEN_MGTN_19ICLS,Japan,Female,12.78
2018,IC_GEN_MGTN_19ICLS,Japan,Female,14.38
2019,IC_GEN_MGTN_19ICLS,Japan,Female,14.72
2020,IC_GEN_MGTN_19ICLS,Japan,Female,13.06
2000,IC_GEN_MGTN_19ICLS,Latvia,Female,37.07
2001,IC_GEN_MGTN_19ICLS,Latvia,Female,39.98
2002,IC_GEN_MGTN_19ICLS,Latvia,Female,38.09
2003,IC_GEN_MGTN_19ICLS,Latvia,Female,45.38
2004,IC_GEN_MGTN_19ICLS,Latvia,Female,42.47
2005,IC_GEN_MGTN_19ICLS,Latvia,Female,42.0
2006,IC_GEN_MGTN_19ICLS,Latvia,Female,40.86
2007,IC_GEN_MGTN_19ICLS,Latvia,Female,42.11
2008,IC_GEN_MGTN_19ICLS,Latvia,Female,41.25
2009,IC_GEN_MGTN_19ICLS,Latvia,Female,41.46
2010,IC_GEN_MGTN_19ICLS,Latvia,Female,39.08
2011,IC_GEN_MGTN_19ICLS,Latvia,Female,44.34
