Year,SeriesCode,Country,Activity,Level of requirement,Value
2019,EN_SCP_FRMN,Canada,ISIC4_H,TOTAL,6
2019,EN_SCP_FRMN,Canada,ISIC4_P,TOTAL,1
2019,EN_SCP_FRMN,Canada,ISIC4_B,TOTAL,57
2019,EN_SCP_FRMN,Canada,ISIC4_J,TOTAL,8
2020,EN_SCP_FRMN,Canada,ISIC4_P,TOTAL,1
2020,EN_SCP_FRMN,Canada,ISIC4_Q,TOTAL,1
2020,EN_SCP_FRMN,Canada,ISIC4_L,TOTAL,20
2020,EN_SCP_FRMN,Canada,ISIC4_J,TOTAL,9
2020,EN_SCP_FRMN,Canada,ISIC4_C,TOTAL,31
2020,EN_SCP_FRMN,Canada,ISIC4_I,TOTAL,1
2020,EN_SCP_FRMN,Canada,ISIC4_B,TOTAL,71
2020,EN_SCP_FRMN,Canada,ISIC4_K,TOTAL,16
2020,EN_SCP_FRMN,Canada,ISIC4_M,TOTAL,8
2020,EN_SCP_FRMN,Canada,TOTAL,TOTAL,195
2020,EN_SCP_FRMN,Canada,ISIC4_G,TOTAL,195
2020,EN_SCP_FRMN,Canada,ISIC4_H,TOTAL,7
2020,EN_SCP_FRMN,Canada,ISIC4_N,TOTAL,2
2020,EN_SCP_FRMN,Canada,ISIC4_F,TOTAL,2
2021,EN_SCP_FRMN,Canada,TOTAL,TOTAL,237
2021,EN_SCP_FRMN,Canada,ISIC4_P,TOTAL,1
2021,EN_SCP_FRMN,Canada,ISIC4_K,TOTAL,22
2021,EN_SCP_FRMN,Canada,ISIC4_I,TOTAL,2
2021,EN_SCP_FRMN,Canada,ISIC4_J,TOTAL,10
2021,EN_SCP_FRMN,Canada,ISIC4_M,TOTAL,10
2021,EN_SCP_FRMN,Canada,ISIC4_G,TOTAL,237
2021,EN_SCP_FRMN,Canada,ISIC4_C,TOTAL,38
2021,EN_SCP_FRMN,Canada,ISIC4_F,TOTAL,2
2021,EN_SCP_FRMN,Canada,ISIC4_N,TOTAL,4
2021,EN_SCP_FRMN,Canada,ISIC4_H,TOTAL,12
2021,EN_SCP_FRMN,Canada,ISIC4_B,TOTAL,81
